"ResponseId","Location","HAPPY","ANGRY","GENERAL ACTION","SPECIFIC ACTION","ACTION","SUM of ACTIONs","INACTION","NEUTRAL","Not FOUND","Blank","SAT1","SAT2","SAT3","SAT4","SAT5","SAT6","SAT7","SAT8","SAT9","SAT10","SAT11","SAT12","SAT13","SAT14","SAT15","SAT16","SAT17","SAT18","SAT19","SAT20","SAT21","SATTotal","Condition"
"R_1rjpLyftsdGTaAU","Oregon",5,4,4,2,7,13,7,17,3,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,12,"action"
"R_1rPaRlVtYpod5Ln","Wesleyan",5,1,1,3,4,8,7,20,5,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,11,"inaction"
"R_1rr05qhh8vErVbi","Oregon",5,1,0,1,8,9,11,19,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,14,"inaction"
"R_1rvO1rAprZ6st3y","Illinois",6,2,1,1,6,8,8,17,7,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,9,"action"
"R_1SIL4Eztf5k3Wnf","Oregon",6,2,4,6,4,14,9,14,2,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,10,"inaction"
"R_20hatpYI2ZU4Ou5","Oregon",3,4,1,2,8,11,9,13,7,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,12,"action"
"R_20P2YNTlzsE2uER","Oregon",3,5,1,3,6,10,6,15,9,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,11,"action"
"R_20VDhk7zY9dlNKG","Toronto",4,6,1,2,8,11,7,20,2,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,10,"action"
"R_21GHKSmJBs39XkW","Wesleyan",4,1,2,3,6,11,9,18,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,11,"inaction"
"R_22E8KWJRiYqFVdn","Oregon",9,2,1,4,6,11,6,22,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,8,"inaction"
"R_22K3UwgHU5F34Y9","Oregon",3,5,1,3,5,9,7,13,8,3,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,7,"inaction"
"R_22snlWiTrbC1BV4","Toronto",6,2,2,2,5,9,5,16,7,3,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,14,"inaction"
"R_23gfYBSR5yZgbwE","Illinois",5,6,1,4,5,10,8,20,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,15,"inaction"
"R_23VHh69iTsjweIk","Oregon",7,1,3,2,6,11,2,26,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,8,"action"
"R_247SeLbvIMkf1Ml","Oregon",1,3,1,3,6,10,6,22,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,13,"inaction"
"R_24C60EhqW87uAt8","Oregon",3,7,5,2,5,12,6,20,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,10,"action"
"R_24D8psuE6daar8u","Toronto",5,3,1,0,2,3,4,10,10,13,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,6,"inaction"
"R_25sf5q3VFCMSGyE","Toronto",6,1,2,5,3,10,9,13,2,6,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,14,"inaction"
"R_25zPqEH5MxuWTx5","Illinois",1,2,2,4,8,14,7,15,4,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,10,"action"
"R_26i4BuvQ6wwNdJV","Toronto",2,1,0,2,6,8,8,11,6,7,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,"action"
"R_26nIeV0398cY5J4","Toronto",6,2,2,3,4,9,8,18,5,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,7,"action"
"R_27J38PK2thvBAY5","Illinois",7,1,3,2,6,11,10,19,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,13,"action"
"R_27kbmmDXJY7Dzi4","Oregon",8,1,0,1,8,9,5,18,3,5,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,7,"inaction"
"R_27pSGiV7EgBOMB3","Oregon",7,1,0,5,5,10,9,16,5,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,8,"inaction"
"R_27qhbIzpt4vqbYT","Illinois",6,1,2,3,4,9,9,20,2,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,11,"inaction"
"R_28GsPZW1a9fMdcO","Oregon",5,6,3,1,7,11,9,14,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,"inaction"
"R_28MORtEzCVMuurn","Toronto",5,5,1,1,1,3,4,11,14,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,8,"action"
"R_28MSTIH4wNW8y5s","Illinois",3,3,1,6,3,10,10,18,2,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,10,"inaction"
"R_2906YIPgrjI262Y","Oregon",3,4,3,3,4,10,10,14,6,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,9,"action"
"R_294YAkecDTwmVE3","Toronto",7,5,3,3,5,11,8,12,1,8,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,7,"inaction"
"R_296Qsin3yB7xwuX","Oregon",4,5,2,5,7,14,8,14,4,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,9,"inaction"
"R_29nByBlZM1UTMlU","Illinois",5,3,1,3,6,10,7,19,4,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,7,"action"
"R_29nvNDOMsk1h1rV","Oregon",4,6,1,5,4,10,5,21,4,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,14,"action"
"R_29plw0BVwRQ0ws4","Oregon",2,9,1,0,6,7,8,18,7,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,14,"inaction"
