"Site","ID","ID2","gender","child_parent","age","age_.year","age_.month","age_.days","age_days","age_months","snake_experience","fear_snake","zoo","protocol","target_stimulus","order","stimulus_1","stimulus_2","stimulus_3","stimulus_4","stimulus_5","stimulus_6","stimulus_7","stimulus_8","stimulus_9","stimulus_10","stimulus_11","stimulus_12","stimulus_13","stimulus_14","stimulus_15","stimulus_16","stimulus_17","stimulus_18","stimulus_19","stimulus_20","stimulus_21","stimulus_22","stimulus_23","stimulus_24","RT.correct","number_errors"
"BG","RP087RSF  ","1RP087RSF   ","male","parent","37y-7m-12d   ",37,7,12,13739.3125,451.394250513347,"no","yes",NA,"RP","snake",4,2.418,0.905,2.028,3.26,1.981,1.934,3.884,1.232,1.669,2.137,1.529,1.997,1.778,1.202,1.155,1.17,1.279,1.123,1.311,1.701,1.263,1.124,1.669,5.195,1.873,0
"BG","RP088DSF  ","1RP088DSF   ","male","child","3y-1m-20d    ",3,1,20,1146.1875,37.6570841889117,"no","unknown",1,"RP","snake",4,5.055,4.899,3.807,6.817,5.226,11.248,4.181,3.666,2.776,4.461,3.385,2.793,2.247,7.238,16.521,2.199,5.897,9.47,14.554,1.653,10.718,2.075,1.591,3.167,4.277,8
"BG","RP088RSF  ","1RP088RSF   ","female","parent","39y-11m-1d   ",39,11,1,14580.5625,479.032854209446,"yes","yes",NA,"RP","snake",4,1.388,1.794,1.326,2.386,1.545,1.42,1.279,1.576,2.277,1.919,1.622,1.576,1.123,2.433,1.373,1.56,1.202,1.342,1.701,1.342,1.076,1.451,1.419,1.061,1.55,0
"BG","RP089DSF  ","1RP089DSF   ","female","child","3y-0m-15d    ",3,0,15,1110.75,36.4928131416838,"no","unknown",2,"RP","snake",4,5.257,2.652,5.085,3.479,2.605,4.54,3.307,6.209,4.415,3.729,3.432,2.543,8.705,5.741,2.371,2.028,2.449,2.356,2.637,4.087,1.888,2.184,6.459,3.354,3.721,2
"BG","RP089RSF  ","1RP089RSF   ","female","parent","38y-1m-3d    ",38,1,3,13912.9375,457.098562628337,"no","yes",NA,"RP","snake",4,1.466,1.217,1.701,1.233,1.092,1.217,1.419,1.685,1.575,1.123,1.42,1.436,1.233,1.372,1.7,1.435,1.763,1.466,1.295,1.264,1.263,2.137,2.137,2.013,1.486,0
"BG","RP090DSF  ","1RP090DSF   ","female","child","3y-3m-30d    ",3,3,30,1217.0625,39.9856262833676,"no","no",1,"RP","snake",4,4.789,5.163,6.255,4.383,5.413,3.26,7.301,6.568,6.443,5.382,6.49,4.618,6.942,5.679,5.772,5.273,6.099,8.58,5.289,6.474,5.413,4.524,3.572,7.503,5.716,0
"BG","RP090RSF  ","1RP090RSF   ","female","parent","32y-7m-0d    ",32,7,0,11901.0625,391,"yes","no",NA,"RP","snake",4,1.217,1.326,1.232,2.652,1.248,2.371,1.669,1.185,2.341,1.155,1.139,1.404,1.139,1.731,0.983,1.03,1.279,2.84,1.748,1.716,0.999,0.936,1.217,0.999,1.482,0
"BG","RP091DFS  ","1RP091DFS   ","female","child","3y-4m-30d    ",3,4,30,1247.5,40.9856262833676,"no","yes",1,"RP","other",3,6.786,3.057,7.348,3.916,7.846,2.496,7.238,4.197,3.525,2.293,3.354,2.278,2.73,2.418,2.355,3.603,3.26,1.95,2.433,2.231,1.294,1.404,1.529,3.416,3.54,1
"BG","RP091RFS  ","1RP091RFS   ","female","parent","42y-3m-18d   ",42,3,18,15449.8125,507.59137577002,"no","yes",NA,"RP","other",3,1.903,2.418,2.091,2.028,2.403,2.592,2.667,2.122,2.168,1.934,1.778,1.654,1.497,2.168,1.732,1.482,1.965,1.685,1.638,1.95,1.685,1.778,2.293,7.27,2.204,0
"BG","RP092DSF  ","1RP092DSF   ","male","child","3y-6m-15d    ",3,6,15,1293.375,42.4928131416838,NA,NA,NA,"RP","snake",4,2.933,2.106,1.826,1.965,2.075,1.731,3.666,2.293,1.529,2.295,4.508,1.716,2.917,2.277,6.084,5.897,3.791,4.212,4.041,3.947,7.659,2.168,3.51,4.665,3.325,0
"BG","RP093DFS  ","1RP093DFS   ","male","child","2y-9m-12d    ",2,9,12,1016.4375,33.394250513347,"yes","no",1,"RP","other",3,11.435,1.84,13.041,4.196,2.792,2.543,6.022,4.165,7.066,3.776,4.618,5.226,5.382,3.744,2.746,5.991,15.413,2.933,6.692,5.538,5.71,3.308,5.756,4.368,4.884,2
"BG","RP093RFS  ","1RP093RFS   ","female","parent","39y-0m-11d   ",39,0,11,14255.75,468.361396303901,"yes","no",NA,"RP","other",3,1.856,2.371,1.341,1.155,1.217,2.246,1.497,1.139,1.575,2.418,1.653,1.404,3.104,2.496,2.465,3.011,5.756,1.295,1.373,2.246,2.278,1.404,2.075,1.123,2.021,0
"BG","RP102DSF  ","1RP102DSF   ","male","child","3y-8m-2d     ",3,8,2,1341.25,44.0657084188912,"no","no",1,"RP","snake",4,8.175,4.961,4.212,7.925,3.245,4.415,4.602,2.433,1.684,4.29,6.271,4.992,3.666,4.165,2.074,3.994,7.301,5.164,3.385,4.758,4.071,6.006,2.06,3.806,4.503,2
"BG","RP102RSF  ","1RP102RSF   ","female","parent","28y-1m-23d   ",28,1,23,10280.4375,337.755646817248,"no","no",NA,"RP","snake",4,1.966,1.529,1.81,1.7,1.732,2.216,1.623,1.56,2.199,1.326,1.388,7.925,1.716,1.918,4.883,1.653,2.699,2.122,3.963,1.653,1.404,1.046,2.871,2.776,2.32,0
"BG","RP103DSF  ","1RP103DSF   ","male","child","3y-10m-8d    ",3,10,8,1408.125,46.2628336755647,NA,NA,NA,"RP","snake",4,2.247,3.307,3.838,2.995,2.761,2.808,2.387,2.652,2.309,1.904,2.621,4.29,7.815,3.089,2.949,4.009,2.73,3.884,5.023,1.965,4.025,3.775,3.292,2.574,3.159,8
"BG","RP104DSF  ","1RP104DSF   ","male","child","3y-10m-19d   ",3,10,19,1419.125,46.6242299794661,NA,NA,NA,"RP","snake",4,3.042,4.118,12.948,5.335,5.414,2.714,2.995,2.933,2.293,4.009,6.006,3.027,2.465,4.227,1.919,2.06,6.255,3.963,1.529,2.247,2.137,3.057,1.56,5.273,3.757,7
"BG","RP104RSF  ","1RP104RSF   ","female","parent","37y-10m-30d  ",37,10,30,13848.625,454.985626283368,NA,NA,NA,"RP","snake",4,1.014,1.575,1.482,2.34,3.042,1.622,3.011,2.402,0.983,3.463,2.013,2.621,1.451,1.232,1.592,2.87,1.513,1.03,1.903,1.419,2.308,1.077,1.67,2.356,1.916,0
"BG","RP105DFS  ","1RP105DFS   ","female","child","3y-1m-24d    ",3,1,24,1150.1875,37.788501026694,"no","no",1,"RP","other",3,9.703,8.518,4.305,5.834,4.93,5.507,7.176,7.379,6.288,5.491,2.262,4.399,6.193,2.402,5.772,5.647,3.775,6.833,3.681,2.808,5.819,3.478,5.382,3.651,5.26,5
"BG","RP105RFS  ","1RP105RFS   ","male","parent","34y-6m-23d   ",34,6,23,12624.125,414.755646817248,"yes","yes",NA,"RP","other",3,1.669,1.186,1.03,1.857,1.591,1.778,1.95,1.342,2.137,1.076,1.919,0.983,4.134,1.233,1.514,1.841,1.154,1.934,1.342,1.576,1.388,1.56,2.09,0.967,1.664,1
