"g","elm_01","elm_02","elm_03","elm_04","elm_05"
"MiamiUniversity",6,5,4,6,3
"MiamiUniversity",1,6,7,6,8
"MiamiUniversity",5,3,4,5,5
"MiamiUniversity",7,7,6,7,5
"MiamiUniversity",7,5,5,6,5
"MiamiUniversity",6,5,5,4,5
"MiamiUniversity",6,5,7,6,4
"MiamiUniversity",9,6,8,8,6
"MiamiUniversity",6,5,6,6,7
"MiamiUniversity",8,7,7,6,6
"MiamiUniversity",7,6,7,6,7
"MiamiUniversity",7,2,2,2,2
"MiamiUniversity",7,5,7,7,7
"MiamiUniversity",7,3,6,8,4
"MiamiUniversity",8,7,8,7,8
"MiamiUniversity",4,5,3,1,4
"MiamiUniversity",7,7,7,4,6
"MiamiUniversity",6,7,4,7,5
"MiamiUniversity",3,5,3,4,4
"MiamiUniversity",7,8,8,6,7
"MiamiUniversity",6,6,6,7,7
"MichiganStateUniversity",4,5,3,2,6
"MichiganStateUniversity",5,6,6,3,4
"MichiganStateUniversity",7,4,4,8,6
"MichiganStateUniversity",8,7,7,7,6
"MichiganStateUniversity",8,2,7,6,6
"MichiganStateUniversity",4,3,3,4,6
"MichiganStateUniversity",9,2,5,8,5
"MichiganStateUniversity",7,7,7,6,6
"MichiganStateUniversity",6,3,7,7,6
"MichiganStateUniversity",8,6,4,6,7
"MichiganStateUniversity",8,7,7,6,6
"MichiganStateUniversity",8,6,6,7,6
"MichiganStateUniversity",5,5,4,5,6
"MichiganStateUniversity",6,5,4,5,6
"MichiganStateUniversity",9,7,7,5,5
"MichiganStateUniversity",7,2,4,4,4
"MichiganStateUniversity",7,5,5,5,7
"MichiganStateUniversity",9,7,5,6,1
"MichiganStateUniversity",5,4,4,5,5
"MichiganStateUniversity",6,3,5,7,4
"MichiganStateUniversity",9,6,8,5,7
"MichiganStateUniversity",5,4,4,2,3
"MichiganStateUniversity",5,5,5,5,7
"MichiganStateUniversity",7,6,4,5,6
"MichiganStateUniversity",6,7,6,6,7
"MichiganStateUniversity",6,5,6,5,6
"MichiganStateUniversity",6,6,4,5,6
"MichiganStateUniversity",9,4,6,5,7
"MichiganStateUniversity",6,8,6,7,6
"MichiganStateUniversity",7,7,8,8,6
"MichiganStateUniversity",7,8,5,7,6
"MichiganStateUniversity",6,4,4,5,5
"MichiganStateUniversity",1,5,1,4,4
"MichiganStateUniversity",8,7,8,9,9
"MichiganStateUniversity",5,4,4,5,4
"MichiganStateUniversity",7,6,6,4,5
"MichiganStateUniversity",7,4,8,7,7
"MichiganStateUniversity",4,4,3,2,2
"MichiganStateUniversity",9,7,9,9,8
"MichiganStateUniversity",7,6,7,7,5
"MichiganStateUniversity",7,5,6,4,6
"MichiganStateUniversity",5,6,6,6,7
"MichiganStateUniversity",6,6,6,6,5
"MichiganStateUniversity",7,7,6,8,6
"MichiganStateUniversity",8,5,7,7,7
"MichiganStateUniversity",9,7,8,5,6
"MichiganStateUniversity",6,3,3,5,5
"MichiganStateUniversity",4,3,5,4,4
"MichiganStateUniversity",8,7,8,8,8
"MichiganStateUniversity",4,3,3,3,4
"MichiganStateUniversity",7,6,6,7,5
"MichiganStateUniversity",6,7,7,8,7
"MichiganStateUniversity",9,7,9,5,9
"MichiganStateUniversity",3,3,5,5,6
"MichiganStateUniversity",3,1,1,5,5
"MichiganStateUniversity",7,7,5,6,7
"MichiganStateUniversity",4,5,4,6,4
"MichiganStateUniversity",6,5,6,6,6
"MichiganStateUniversity",8,7,6,7,7
"MichiganStateUniversity",5,3,5,7,4
