"g","van.p1.2_1","van.p1.2_2","van.p1.2_3","van.p1.2_4","van.p1.2_5","van.p1.2_6"
"ubctab",1,9,9,5,5,9
"ubctab",1,9,9,9,1,1
"ubc",1,6,9,6,1,1
"ubc",3,8,9,6,2,2
"ubc",1,9,9,4,5,9
"ubc",1,9,9,1,9,1
"ubc",1,9,7,4,3,4
"ubc",1,6,9,5,5,9
"ubc",1,9,9,5,5,9
"ubctab",3,8,8,5,3,7
"ubc",1,9,9,9,1,9
"ubctab",3,9,9,5,5,2
"ubctab",1,9,9,4,5,9
"ubc",1,9,9,4,5,9
"toronto",1,9,9,5,5,8
"toronto",1,9,9,5,4,8
"toronto",1,1,9,4,3,8
"toronto",1,9,9,4,5,8
"ubctab",1,9,9,9,1,1
"ubctab",1,9,9,1,5,9
"toronto",1,9,9,4,5,9
"ubctab",1,9,9,7,4,9
"ubc",1,9,9,4,5,9
"toronto",1,9,9,1,1,1
"toronto",3,8,9,8,5,1
"toronto",1,9,9,8,3,7
"toronto",1,9,1,1,5,1
"toronto",1,7,9,4,5,9
"toronto",1,8,9,5,5,9
"toronto",2,8,9,4,5,9
"toronto",1,6,5,5,5,5
"toronto",1,9,8,4,5,9
"ubctab",1,9,9,5,4,6
"toronto",2,9,7,5,4,8
"toronto",5,9,9,6,1,1
"toronto",1,9,9,9,1,9
"toronto",2,8,1,1,1,1
"toronto",1,9,9,5,5,9
"toronto",9,9,9,9,1,1
"toronto",1,9,9,4,5,9
"toronto",3,8,9,4,3,6
"toronto",1,9,9,5,5,9
"toronto",1,9,9,4,5,9
"ubctab",1,9,9,4,5,9
"ubctab",1,9,1,1,1,9
"ubctab",1,9,9,5,5,9
"toronto",1,9,1,9,1,9
"toronto",5,5,5,6,6,6
"toronto",4,5,5,6,5,7
"toronto",1,9,9,4,5,9
"toronto",1,9,9,4,5,9
"toronto",2,7,9,4,5,9
"toronto",1,9,9,4,5,9
"toronto",1,8,9,5,5,9
"toronto",1,9,9,4,5,9
"toronto",1,3,9,5,5,9
"toronto",2,8,8,5,5,5
"toronto",1,9,9,4,5,9
"toronto",1,9,9,4,5,9
"toronto",9,9,9,4,6,8
"toronto",2,9,7,5,4,2
"toronto",1,7,9,4,5,9
"toronto",9,9,9,9,1,1
"toronto",1,9,9,6,3,5
"toronto",9,9,9,9,1,1
"toronto",1,9,9,9,1,1
"ubctab",9,9,9,1,9,9
"ubctab",1,9,9,4,5,9
"ubctab",1,9,9,9,1,1
"ubctab",1,9,9,5,5,5
"toronto",1,9,9,1,9,1
"toronto",1,9,9,9,1,1
"toronto",1,9,9,1,5,9
"toronto",4,9,9,5,1,1
"toronto",9,9,9,9,1,9
"toronto",2,3,2,3,5,2
"toronto",1,9,9,5,5,8
"toronto",1,9,9,5,5,9
"toronto",1,9,9,6,4,9
"toronto",1,9,1,4,9,7
"toronto",1,9,9,4,5,9
"toronto",1,9,9,1,5,9
"toronto",1,9,9,7,2,3
"toronto",1,9,9,5,2,9
"toronto",2,8,9,4,5,9
"toronto",3,8,8,5,3,8
"toronto",1,9,9,5,3,8
"toronto",1,9,9,4,5,9
"toronto",1,9,9,4,5,9
"toronto",1,9,9,6,5,6
"toronto",1,9,9,9,1,1
"toronto",1,9,9,5,5,8
"toronto",5,4,5,4,5,9
"toronto",1,9,9,4,5,9
"toronto",1,6,5,3,5,6
"ubctab",3,9,9,1,1,6
"ubctab",4,9,8,5,3,6
"toronto",2,5,9,4,4,9
"toronto",1,9,9,5,5,9
"toronto",9,1,9,9,1,1
"toronto",1,9,1,1,1,9
"toronto",5,7,8,7,6,8
"toronto",1,8,9,6,4,7
"toronto",1,9,9,5,5,9
"ubc",1,9,9,4,5,9
"toronto",1,9,7,7,3,1
"toronto",1,8,7,8,2,2
"toronto",1,7,9,4,5,9
"ubctab",1,9,9,5,5,9
"toronto",1,9,9,1,5,9
"toronto",6,6,6,5,6,6
"ubc",1,9,9,4,5,9
"ubctab",1,7,9,1,1,9
"toronto",1,9,9,5,5,9
"toronto",1,9,9,4,5,9
"toronto",1,8,1,3,3,9
"toronto",1,8,9,5,5,9
"toronto",1,9,9,5,5,9
"toronto",1,9,9,5,3,6
"toronto",4,8,8,5,5,8
"toronto",7,4,7,7,5,5
"toronto",1,8,9,5,5,9
"toronto",1,9,1,1,1,9
"toronto",1,9,9,9,1,1
"toronto",1,8,9,4,5,9
"toronto",2,9,9,8,5,9
"toronto",1,9,9,9,1,9
"toronto",1,9,9,5,5,9
"toronto",1,9,9,1,1,9
"toronto",1,9,1,1,1,9
"toronto",1,9,9,4,5,9
"toronto",1,9,8,4,2,7
"toronto",1,9,9,1,1,9
"toronto",1,9,9,4,5,9
"toronto",1,9,9,5,2,1
"toronto",1,9,9,4,5,9
"toronto",1,9,1,5,5,9
"ubc",2,9,9,4,4,9
"toronto",4,9,9,7,2,1
"ubc",2,8,8,4,6,9
"toronto",1,8,9,5,5,9
"toronto",1,6,5,5,4,4
"ubc",2,6,8,4,3,6
"toronto",1,9,9,6,1,1
"toronto",1,9,1,1,5,1
"toronto",1,9,9,1,5,9
"ubctab",1,8,9,5,5,9
"toronto",2,9,9,7,2,9
"ubc",1,9,9,6,3,9
"toronto",1,9,9,5,4,7
"ubc",1,9,9,4,5,9
"toronto",1,9,8,4,4,4
"ubc",1,9,1,1,9,9
"ubc",2,9,8,1,5,9
"toronto",1,9,9,1,4,9
"toronto",7,9,9,6,1,1
"toronto",1,9,1,4,5,9
"toronto",2,7,7,2,2,9
"toronto",1,9,9,4,5,9
"toronto",1,9,9,1,9,9
"toronto",3,1,5,6,4,9
"toronto",6,9,9,9,1,1
"toronto",1,9,9,5,5,9
"toronto",5,3,6,6,3,7
"toronto",2,9,8,5,5,8
"toronto",1,9,9,5,1,6
"toronto",2,9,9,5,4,1
"toronto",4,6,3,6,3,7
"toronto",1,9,1,5,5,9
"toronto",1,9,1,1,1,1
"toronto",1,9,9,1,5,9
"toronto",1,8,9,5,3,2
"toronto",1,9,9,4,5,9
"toronto",6,3,4,4,3,5
"ubc",7,8,9,9,1,1
"ubctab",1,9,9,9,1,1
"ubc",1,9,9,5,2,2
"ubctab",2,9,9,5,5,8
"ubctab",1,9,9,9,1,1
"ubc",1,9,1,1,1,1
"ubctab",9,9,9,9,1,1
"ubc",1,9,9,5,4,6
"ubc",1,9,9,4,1,1
"ubc",1,8,9,5,5,9
"ubc",1,9,9,5,5,7
"ubc",5,5,5,5,5,5
"toronto",1,9,9,4,5,9
"toronto",2,9,9,5,1,3
"toronto",1,8,9,5,5,9
"toronto",4,8,9,8,1,1
"toronto",3,9,9,6,4,6
"ubc",1,9,9,4,5,9
"ubc",1,9,9,4,5,9
"ubctab",1,9,9,8,1,1
"ubctab",1,9,9,1,5,9
"toronto",1,9,9,5,5,9
"toronto",1,9,9,9,1,1
"toronto",1,9,9,6,3,3
"ubc",1,9,9,5,5,9
"ubctab",1,9,9,9,1,1
"ubctab",1,9,9,5,5,9
"toronto",1,9,9,4,5,9
"ubctab",9,9,9,9,1,1
"ubc",5,9,9,8,1,1
"ubctab",1,9,9,4,5,9
"ubctab",1,9,9,9,1,1
"ubctab",1,9,9,1,5,9
"ubctab",1,9,7,5,5,9
"ubc",1,9,9,4,5,9
"ubc",1,9,1,1,9,9
"toronto",3,3,4,3,3,4
"toronto",5,9,8,5,1,1
"toronto",3,9,8,5,5,8
"toronto",5,9,9,5,1,7
"toronto",1,9,9,4,5,9
"toronto",1,9,9,1,5,9
"toronto",1,9,1,1,1,1
"toronto",1,8,9,5,5,9
"toronto",1,9,9,6,5,9
"ubc",2,8,9,5,5,8
"ubc",1,9,9,7,3,6
"ubc",3,8,7,6,3,6
"toronto",1,7,9,4,5,9
"toronto",1,9,9,9,1,1
"toronto",1,9,9,5,5,7
"toronto",1,9,9,9,1,1
"toronto",1,9,1,4,5,9
"toronto",4,9,7,5,6,7
"toronto",1,9,9,5,5,9
"toronto",1,8,9,7,2,9
"ubc",1,9,9,6,1,1
"ubc",1,8,9,4,5,9
"ubctab",1,9,9,5,1,9
"ubc",1,9,9,5,4,8
"ubctab",4,5,4,4,6,5
"ubc",1,9,9,5,5,8
"ubc",1,9,9,9,1,1
"ubc",1,9,9,9,1,1
"ouhktab",1,9,9,4,5,9
"ouhktab",1,8,9,5,5,9
"ouhktab",8,8,9,4,5,9
"ouhktab",1,8,8,4,5,8
"ouhktab",1,9,1,1,1,9
"ouhktab",1,8,1,4,5,9
"ouhktab",1,9,9,5,5,9
"ouhktab",1,9,9,5,2,4
"ouhktab",1,9,9,5,5,9
"ouhktab",9,9,9,9,1,1
"ouhktab",1,9,9,1,1,1
"ouhktab",1,9,9,5,4,8
"ouhktab",1,9,9,1,5,9
"ouhktab",1,9,9,1,5,9
"ouhktab",2,8,9,5,5,7
"ouhktab",1,9,9,4,1,1
"ouhktab",1,8,9,6,2,7
"ouhktab",1,9,9,5,5,9
"ouhktab",2,7,7,4,7,7
"ouhktab",2,9,9,6,4,8
"ouhktab",1,3,8,7,5,7
"ouhktab",7,6,1,7,1,1
"ouhktab",1,8,9,4,5,9
"ouhktab",1,8,9,4,5,9
"ouhktab",1,9,1,1,9,9
"ouhktab",1,9,1,4,5,9
"ouhktab",1,9,9,8,2,9
"ouhktab",9,9,9,9,1,1
"ouhktab",1,9,9,4,5,9
"ouhktab",1,9,9,4,5,9
"ouhktab",1,8,9,4,5,9
"ouhktab",1,9,9,9,1,1
"ouhktab",1,9,9,1,1,1
"ouhktab",1,9,9,9,1,1
"ouhktab",9,9,9,9,1,1
"ouhktab",1,9,9,9,1,1
"hkust",3,8,9,7,2,2
"hkust",5,8,7,6,7,6
"hkust",2,9,9,3,4,7
"hkust",1,9,9,9,1,1
"hkust",1,9,9,4,3,9
"hkust",5,9,9,7,2,3
"hkust",1,9,9,1,5,9
"hkust",1,9,9,5,4,8
"hkust",1,9,9,5,1,1
"hkust",2,8,8,5,3,8
"hkust",1,9,9,4,7,9
"hkust",1,9,9,4,5,9
"hkust",1,9,9,9,1,1
"hkust",1,9,9,5,5,9
"hkust",1,9,9,5,5,9
"hkust",1,9,9,5,3,9
"hkust",1,9,9,5,5,9
"hkust",1,9,9,4,5,9
"hkust",1,9,9,6,3,8
"hkust",1,9,9,4,5,9
"hkust",1,9,9,5,5,9
"hkust",6,8,9,7,1,1
"hkust",3,9,9,6,3,6
"hkust",1,9,9,5,4,8
"hkust",1,9,9,4,5,9
"hkust",1,9,9,4,1,9
"hkust",3,8,9,4,5,8
"hkust",1,9,9,9,1,9
"hkust",1,8,2,3,3,3
"hkust",3,9,9,6,3,5
"hkust",9,6,8,6,4,4
"hkust",1,9,9,4,5,9
"hkust",1,9,9,7,1,1
"hkust",1,9,7,4,5,9
"hkust",1,9,9,9,1,9
"hkust",3,8,9,4,5,9
"hkust",7,7,9,7,1,1
"hkust",1,9,9,1,5,9
"hkust",1,9,9,4,5,9
"hkust",1,9,9,5,5,9
"hkust",2,9,7,5,4,8
"hkust",1,9,9,5,1,9
"hkust",1,9,9,4,5,9
"hkust",1,9,9,6,1,9
"hkust",1,9,9,5,4,8
"hkust",1,9,9,5,4,9
"hkust",1,9,9,5,5,9
"hkust",5,2,9,8,5,4
"hkust",1,9,9,1,5,9
"hkust",9,9,9,9,1,1
"hkust",1,9,9,4,5,9
"hkust",3,6,9,5,4,7
"hkust",1,9,9,9,1,1
"hkust",1,9,9,4,5,9
"hkust",1,9,9,4,5,9
