"g","nfc_01","nfc_02","nfc_03","nfc_04","nfc_05","nfc_06"
"MichiganStateUniversity",2,3,4,2,1,3
"MichiganStateUniversity",4,4,3,4,4,2
"MichiganStateUniversity",4,2,2,2,3,2
"MichiganStateUniversity",3,2,3,4,5,2
"MichiganStateUniversity",2,3,4,3,3,2
"MichiganStateUniversity",2,2,2,4,1,4
"MichiganStateUniversity",4,2,3,4,3,1
"MichiganStateUniversity",3,2,4,3,4,2
"MichiganStateUniversity",2,3,4,3,2,3
"MichiganStateUniversity",4,4,3,2,5,3
"MichiganStateUniversity",4,2,3,4,3,2
"MichiganStateUniversity",4,2,3,4,4,3
"MichiganStateUniversity",4,2,2,3,5,2
"MichiganStateUniversity",1,2,4,2,2,2
"MichiganStateUniversity",2,3,4,4,4,2
"MichiganStateUniversity",2,4,3,3,4,4
"MichiganStateUniversity",3,2,4,1,3,3
"MichiganStateUniversity",2,3,4,2,1,2
"MichiganStateUniversity",3,4,2,4,4,3
"MichiganStateUniversity",2,3,4,3,2,2
"MichiganStateUniversity",3,3,4,4,4,2
"MichiganStateUniversity",3,4,4,2,4,2
"MichiganStateUniversity",3,1,3,4,3,2
"MichiganStateUniversity",3,1,4,3,4,2
"MichiganStateUniversity",1,2,5,4,3,2
"MichiganStateUniversity",3,3,4,2,2,3
"MichiganStateUniversity",3,2,4,4,4,2
"MichiganStateUniversity",3,2,3,4,3,2
"MichiganStateUniversity",4,4,4,2,3,3
"MichiganStateUniversity",3,2,2,4,4,2
"MichiganStateUniversity",2,2,2,3,4,2
"MichiganStateUniversity",3,2,4,4,4,2
"MichiganStateUniversity",4,4,4,4,4,4
"MichiganStateUniversity",4,4,4,2,3,2
"MichiganStateUniversity",2,2,4,3,4,1
"MichiganStateUniversity",1,1,4,2,3,4
"MichiganStateUniversity",2,2,4,2,2,4
"MichiganStateUniversity",2,2,3,3,4,3
"MichiganStateUniversity",1,4,2,3,2,4
"MichiganStateUniversity",3,2,3,3,4,2
"MichiganStateUniversity",2,2,4,4,4,2
"MichiganStateUniversity",4,4,2,4,2,1
"MichiganStateUniversity",2,3,4,3,4,4
"MichiganStateUniversity",3,2,2,4,5,2
"MichiganStateUniversity",2,4,4,2,2,2
"MichiganStateUniversity",2,2,2,4,4,2
