"g","zhon.dv.1_2","zhon.dv.1_3","zhon.dv.1_7","zhon.dv.1_8","zhon.dv.1_10"
"aus2",7,7,3,5,4
"aus2",6,4,3,3,5
"aus2",7,7,1,4,7
"louvain",5,5,4,3,5
"louvain",4,6,2,2,2
"louvain",5,6,4,5,5
"louvain",6,6,1,1,1
"louvain",1,2,1,1,1
"louvain",5,5,2,2,2
"louvain",4,4,1,3,2
"louvain",5,5,2,2,2
"louvain",3,6,3,1,2
"louvain",4,4,1,1,1
"louvain",2,2,1,2,2
"louvain",4,6,3,3,3
"louvain",5,6,1,3,3
"louvain",5,2,5,1,1
"louvain",3,4,3,2,3
"louvain",5,5,2,3,2
"louvain",4,6,1,1,1
"louvain",7,1,1,2,1
"louvain",5,4,1,2,1
"louvain",7,1,7,1,1
"louvain",4,4,3,4,4
"louvain",5,4,3,3,2
"louvain",2,7,1,2,3
"louvain",5,5,1,4,3
"louvain",5,7,2,2,3
"louvain",2,1,1,1,1
"louvain",5,5,1,6,4
"louvain",4,4,4,4,2
"louvain",7,7,1,1,1
"louvain",2,3,1,1,1
"louvain",4,3,1,1,1
"louvain",1,1,1,4,2
"louvain",4,7,6,3,6
"louvain",2,4,2,3,2
"louvain",6,3,3,4,4
"louvain",4,5,3,1,2
"louvain",5,3,2,3,4
"louvain",2,4,1,1,1
"louvain",5,5,1,1,2
"louvain",6,4,2,2,3
"louvain",2,5,5,2,3
"louvain",1,5,1,1,1
"louvain",5,7,3,3,5
"louvain",7,7,2,2,3
"louvain",1,5,1,7,1
"louvain",1,4,6,4,4
"louvain",4,4,4,5,4
"louvain",4,5,1,3,1
"louvain",1,1,1,1,1
"louvain",2,4,1,5,1
"louvain",3,5,1,5,6
"louvain",5,2,1,2,1
"louvain",2,7,1,3,2
"louvain",5,6,2,2,2
"louvain",2,4,1,1,1
"louvain",1,2,2,2,3
"louvain",7,4,3,4,3
"louvain",3,4,2,1,4
"louvain",2,4,2,2,2
"louvain",5,7,1,1,1
"pascal",2,3,3,2,4
"pascal",6,6,4,4,6
"pascal",1,4,3,1,1
"pascal",1,1,1,1,1
"pascal",1,4,1,1,1
"pascal",1,5,2,5,1
"pascal",1,3,1,1,1
"pascal",3,4,4,3,2
"pascal",4,3,4,3,1
"pascal",1,1,2,3,4
"pascal",1,7,5,2,3
"pascal",2,2,2,1,1
"pascal",3,2,2,2,2
"pascal",1,1,1,1,1
"pascal",1,1,1,1,1
"pascal",5,6,3,3,3
"pascal",6,6,4,4,4
"pascal",7,7,1,4,1
"pascal",3,7,5,7,6
"pascal",1,1,1,2,3
"pascal",4,1,4,4,3
"pascal",2,1,1,1,1
"pascal",1,1,1,4,1
"pascal",7,3,1,1,1
"pascal",4,4,4,4,1
"pascal",3,6,4,5,2
"pascal",2,2,1,1,1
"pascal",3,3,5,6,5
"pascal",6,5,3,1,5
"pascal",5,5,5,3,4
"pascal",2,7,7,7,7
"pascal",1,1,1,1,1
"pascal",3,3,1,1,1
"pascal",7,2,5,1,1
"pascal",1,2,1,1,1
"pascal",4,4,4,4,3
"pascal",4,4,1,2,2
"pascal",3,1,1,1,3
"pascal",1,7,1,1,5
"pascal",4,5,4,5,2
"pascal",1,4,1,1,1
"pascal",5,6,4,6,1
"pascal",2,4,1,1,1
"pascal",4,2,1,1,2
"pascal",1,6,5,6,3
"pascal",1,1,1,1,1
"pascal",5,4,5,5,3
"pascal",7,7,6,6,6
"pascal",1,1,1,1,1
"pascal",2,4,1,2,1
"pascal",2,2,2,5,2
"pascal",4,3,2,5,1
"pascal",4,5,5,2,2
"pascal",7,6,2,2,2
"pascal",4,1,1,1,1
"pascal",2,5,3,3,4
"pascal",7,7,6,7,7
"pascal",6,6,4,6,4
"pascal",7,7,4,5,5
"pascal",1,1,1,2,1
"pascal",1,1,1,1,1
"pascal",1,1,7,1,1
"pascal",5,4,4,5,3
"pascal",1,1,1,1,1
"pascal",6,5,3,4,2
"pascal",1,1,2,1,1
"pascal",1,1,2,2,1
"pascal",4,7,5,5,1
"pascal",1,1,1,1,1
"pascal",1,2,1,1,1
"pascal",1,1,1,4,1
"pascal",7,1,3,4,3
"pascal",5,7,4,3,4
"pascal",5,2,1,1,1
"pascal",2,5,1,1,1
"pascal",3,3,4,3,6
"pascal",1,1,2,4,1
"pascal",3,4,3,5,5
"pascal",1,4,1,1,1
"pascal",4,4,4,3,2
"pascal",6,5,1,1,1
"pascal",3,2,2,4,6
"pascal",1,1,1,1,1
"pascal",5,7,2,2,3
"pascal",7,3,3,2,1
"pascal",7,7,1,1,1
"amityon",7,6,6,5,7
"amityon",7,7,4,5,3
"amity",7,7,4,3,5
"amity",2,6,1,1,5
"amity",3,7,1,3,7
"amity",2,7,2,7,7
"amity",1,5,4,3,7
"amity",6,5,1,1,4
"amity",7,7,1,3,3
"amity",7,7,5,4,7
"amity",3,3,1,2,5
"amity",6,7,5,6,7
"amity",5,7,6,7,6
"amity",2,5,2,3,4
"amityon",1,1,1,2,1
"amityon",4,7,3,3,7
"amityon",4,3,1,1,4
"amity",7,7,3,1,3
"amityon",5,4,5,4,6
"amityon",7,7,5,4,7
"amityon",7,7,4,5,4
"amity",6,6,4,4,6
"amityon",3,6,4,5,5
"amityon",4,5,5,6,5
"amityon",4,5,5,4,5
"amityon",4,4,4,5,7
"amity",7,7,3,7,7
"amity",7,7,7,7,7
"amity",3,5,3,5,4
"amityon",7,3,1,5,5
"amityon",7,7,4,7,5
"amityon",7,4,3,5,3
"amity",4,5,5,4,3
"amityon",7,6,4,6,6
"amity",1,2,4,4,7
"amity",7,7,4,6,7
"amity",4,6,6,6,4
"amity",5,3,4,3,3
"amity",3,4,4,3,4
"amity",5,3,2,5,4
"amity",4,5,6,4,4
"amity",4,5,4,4,5
"amity",3,5,4,4,5
"amity",4,5,5,5,6
"amity",5,4,7,6,4
"amity",4,6,7,6,6
"amity",5,4,5,4,4
"amity",3,5,3,3,5
"amity",2,4,3,3,4
"amity",6,7,3,2,6
"amityon",3,3,3,4,5
"amity",5,4,3,5,3
"amity",5,7,3,2,7
"amity",5,7,1,5,7
"amityon",1,7,1,1,7
"amity",5,3,5,3,2
"amity",3,5,4,5,4
"amity",4,6,2,3,5
"amity",4,4,2,7,3
"amity",6,5,1,4,7
"amity",4,7,3,1,7
"amity",4,3,3,3,4
"amityon",5,4,3,1,4
"amityon",3,4,1,4,4
"amityon",4,2,6,2,5
"amity",3,4,3,3,5
"amity",4,3,5,6,6
"amity",2,2,5,4,6
"amity",2,2,4,6,3
"amity",2,2,1,1,1
"amity",3,4,4,3,3
"amity",4,3,5,5,6
"amity",4,3,2,1,1
"amity",5,4,3,1,1
"amity",3,3,3,3,3
"amity",5,6,1,3,6
"amity",5,5,5,6,6
"amityon",3,3,2,5,5
"amity",3,3,2,3,3
"amity",3,2,2,3,3
"amity",3,4,3,3,4
"amity",4,2,1,1,1
"amity",1,2,3,1,1
"amity",4,5,1,1,3
"amity",1,1,1,1,1
"amity",2,2,2,2,2
"amity",1,1,1,1,1
"amity",3,3,5,5,3
"amity",4,3,4,4,6
"amity",5,7,4,3,6
"amity",7,7,1,4,7
"amity",7,7,2,5,7
"isb",3,2,5,4,7
"isb",3,7,4,5,7
"isb",4,4,2,1,3
"isb",7,7,7,7,7
"isb",6,5,2,4,5
"isb",4,5,2,7,4
"isb",2,5,5,5,4
"isb",1,1,7,7,1
"isb",1,1,1,5,4
"isb",5,6,4,7,5
"isb",4,2,4,5,5
"isb",4,7,7,7,4
"isb",2,4,6,5,6
"isb",7,7,3,6,7
"isb",5,7,5,7,7
"isb",4,4,4,6,6
"isb",2,4,5,6,3
"isb",5,6,5,7,5
"isb",5,6,3,4,4
"isb",1,1,6,6,4
"isb",7,7,5,6,5
"isb",1,1,5,6,7
"isb",4,5,6,6,3
"isb",5,5,6,6,6
"isb",7,1,7,6,2
"isb",5,7,3,6,3
"isb",4,7,2,5,4
"isb",1,1,2,2,3
"isb",6,1,7,7,2
"isb",1,3,3,3,4
"isb",7,5,7,5,5
"isb",5,5,4,5,6
"isb",3,1,1,5,1
"isb",4,5,6,7,6
"isb",4,5,6,5,3
"isb",7,5,3,7,7
"isb",7,7,4,7,5
"isb",4,6,4,5,5
"isb",4,4,4,4,4
"isb",7,7,5,7,7
"isb",3,1,4,1,1
"isb",3,4,1,1,3
"isb",1,1,1,4,4
"isb",4,5,5,6,4
"isb",2,5,1,4,6
"isb",6,6,3,7,7
"isb",4,5,5,4,4
"isb",2,4,2,7,7
"isb",5,2,6,4,1
"mturk_india",6,6,3,3,6
"mturk_india",5,6,5,6,6
"mturk_india",7,7,1,7,7
"mturk_india",2,7,4,3,7
"mturk_india",2,7,5,7,1
"mturk_india",7,6,5,5,7
"mturk_india",3,2,7,7,7
"mturk_india",5,5,3,5,7
"mturk_india",5,4,2,5,7
"mturk_india",6,7,7,6,7
"mturk_india",2,4,6,5,6
"mturk_india",4,4,5,5,6
"mturk_india",5,6,6,5,7
"mturk_india",4,3,1,3,4
"mturk_india",4,4,3,3,5
"mturk_india",4,2,3,5,3
"mturk_india",1,1,1,1,1
"mturk_india",1,1,2,4,5
"mturk_india",1,2,1,7,7
"mturk_india",4,3,5,2,7
"mturk_india",4,5,2,5,6
"mturk_india",7,6,6,7,7
"mturk_india",6,5,3,6,2
"mturk_india",3,4,5,7,6
"mturk_india",3,5,3,4,7
"mturk_india",4,4,1,3,3
"mturk_india",7,7,3,3,5
"mturk_india",3,5,5,6,7
"mturk_india",7,7,4,7,7
"mturk_india",4,4,4,3,6
"mturk_india",1,5,6,3,7
"mturk_india",1,3,1,3,5
"mturk_india",1,4,3,7,4
"mturk_india",7,7,6,7,6
"mturk_india",7,7,5,7,6
"mturk_india",1,6,5,6,7
"mturk_india",6,6,3,4,3
"mturk_india",4,4,5,4,3
"mturk_india",7,2,4,6,5
"mturk_india",5,4,5,6,6
"mturk_india",6,5,4,6,3
"mturk_india",2,4,3,3,3
"mturk_india",7,1,5,1,1
"mturk_india",7,7,4,6,7
"mturk_india",3,6,3,4,5
"mturk_india",3,4,6,7,7
"mturk_india",5,7,4,5,5
"mturk_india",4,5,4,6,5
"mturk_india",6,6,1,5,6
"mturk_india",3,4,5,7,7
"mturk_india",7,7,2,5,6
"mturk_india",1,6,2,4,6
"mturk_india",2,2,2,2,3
"mturk_india",3,2,6,3,1
"mturk_india",7,7,3,5,3
"mturk_india",2,4,5,4,5
"mturk_india",4,5,2,6,3
"mturk_india",4,3,4,1,6
"mturk_india",4,6,7,7,6
"mturk_india",3,1,5,3,1
"mturk_india",5,6,5,4,6
"mturk_india",6,7,3,2,5
"mturk_india",5,5,5,4,6
"mturk_india",5,7,5,7,7
"mturk_india",3,5,4,5,6
"mturk_india",3,4,4,5,4
"mturk_india",6,7,2,1,3
"mturk_india",2,3,1,7,5
"mturk_india",3,5,1,2,3
"mturk_india",3,4,3,4,5
"mturk_india",4,5,2,3,5
"mturk_india",6,3,2,5,4
"mturk_india",7,5,6,7,7
"mturk_india",2,5,4,2,3
"mturk_india",6,7,4,3,3
"mturk_india",4,6,4,4,5
"mturk_india",5,4,1,3,2
"mturk_india",7,7,6,5,7
"mturk_india",7,7,6,7,7
"mturk_india",1,1,1,1,7
"mturk_india",3,3,3,4,3
"mturk_india",6,6,3,3,5
"mturk_india",5,3,1,6,5
"mturk_india",7,5,5,5,4
"mturk_india",7,7,2,2,7
"mturk_india",3,2,4,2,4
"mturk_india",6,7,7,7,6
"mturk_india",4,4,4,5,6
"mturk_india",3,7,5,5,7
"mturk_india",5,3,3,6,6
"mturk_india",6,6,4,4,5
"mturk_india",6,4,5,6,7
"mturk_india",4,4,3,5,6
"mturk_india",7,7,6,5,7
"mturk_india",4,5,5,4,5
"mturk_india",7,6,3,2,5
"mturk_india",3,5,1,7,7
"mturk_india",5,4,5,4,7
"mturk_india",2,1,5,4,5
"mturk_india",3,6,5,6,6
"mturk_india",7,7,7,6,7
"mturk_india",5,5,5,6,7
"mturk_india",1,4,3,7,7
"mturk_india",7,7,1,4,7
"mturk_india",4,7,1,7,7
"mturk_india",6,7,3,3,7
"mturk_india",6,4,4,2,6
"mturk_india",6,6,4,3,5
"mturk_india",3,6,5,4,5
"mturk_india",5,7,1,4,4
"mturk_india",5,7,6,7,7
"mturk_india",4,2,3,6,4
"mturk_india",6,7,1,3,5
"mturk_india",3,6,3,4,6
"mturk_india",1,7,4,5,5
"mturk_india",6,4,5,4,4
"mturk_india",1,1,1,1,1
"mturk_india",5,3,5,6,5
"mturk_india",4,5,5,4,7
"mturk_india",2,6,2,5,6
"mturk_india",5,2,7,6,7
"mturk_india",7,7,2,5,7
"mturk_india",5,4,4,4,4
"mturk_india",7,7,5,7,7
"mturk_india",5,6,7,5,7
"mturk_india",4,2,2,3,5
"mturk_india",4,5,3,3,3
"mturk_india",1,3,1,3,4
"mturk_india",7,7,7,7,7
"mturk_india",7,7,4,5,7
"mturk_india",7,6,5,7,7
"mturk_india",1,4,3,4,5
"mturk_india",5,2,6,2,4
"mturk_india",4,7,4,2,6
"mturk_india",3,3,2,3,3
"mturk_india",3,4,6,5,7
"mturk_india",5,7,5,7,7
"mturk_india",7,7,7,3,2
"mturk_india",3,4,2,6,6
"mturk_india",5,7,4,4,4
"mturk_india",5,7,5,4,4
"mturk_india",2,4,1,1,7
"mturk_india",4,4,4,5,7
"mturk_india",6,7,5,7,7
"mturk_india",5,3,4,6,7
"mturk_india",7,7,7,7,2
"mturk_india",1,1,2,1,5
"mturk_india",6,6,5,6,6
"mturk_india",1,7,3,7,1
"mturk_india",5,4,3,4,7
"mturk_india",4,6,3,3,4
"mturk_india",1,1,3,5,7
"mturk_india",4,7,4,5,7
"mturk_india",5,5,6,5,5
"padua",4,2,4,2,1
"padua",5,7,3,2,1
"padua",6,5,2,4,4
"padua",4,3,6,7,6
"padua",5,5,3,5,4
"padua",4,3,3,3,4
"padua",4,2,1,1,1
"padua",1,1,1,1,1
"padua",2,2,4,3,3
"padua",3,6,4,5,5
"padua",2,2,3,5,3
"padua",3,2,4,5,5
"padua",1,1,1,2,4
"padua",1,5,4,2,4
"padua",2,1,4,5,5
"padua",6,4,1,7,7
"padua",2,3,1,1,1
"padua",1,1,2,1,4
"padua",4,5,6,3,1
"padua",3,3,2,7,6
"padua",4,5,1,3,3
"padua",3,3,5,5,4
"padua",4,4,2,2,3
"padua",3,6,1,5,4
"padua",5,5,4,3,4
"padua",4,4,4,4,5
"padua",3,3,1,1,1
"padua",2,2,3,5,3
"padua",2,2,1,1,1
"padua",3,2,4,1,4
"padua",3,3,2,3,3
"padua",2,1,6,1,5
"padua",3,5,4,3,4
"padua",5,5,4,3,5
"padua",3,4,4,5,4
"padua",1,6,1,5,4
"padua",1,1,3,1,3
"padua",1,4,1,2,1
"padua",1,3,1,1,1
"padua",1,1,2,3,4
"padua",2,7,2,3,2
"padua",1,4,4,4,4
"help",2,2,3,1,2
"help",3,3,1,1,1
"help",5,4,1,1,1
"help",5,5,2,2,3
"help",1,2,5,6,2
"help",6,4,4,4,4
"help",6,6,5,4,5
"help",3,5,1,2,1
"help",4,5,1,1,2
"help",1,4,3,3,3
"help",5,6,3,6,6
"help",1,1,1,1,2
"help",5,3,1,1,2
"help",4,4,4,6,4
