"g","and1.3_1","and1.3_2","and1.3_3","and1.3_4","and1.3_5"
"uiuc",2,5,3,2,1
"tufts",6,7,7,6,6
"uiuc",6,5,2,3,4
"uiuc",2,3,4,2,1
"uiuc",5,6,6,6,2
"uiuc",2,4,3,3,3
"uiuc",6,6,6,6,7
"uiuc",5,5,6,6,6
"uiuc",7,7,7,7,6
"uiuc",5,4,5,5,5
"uiuc",5,6,6,5,4
"uiuc",5,4,6,4,3
"tufts",6,6,6,7,5
"uiuc",5,5,6,6,6
"bc",4,5,5,5,4
"tufts",6,7,7,7,5
"tufts",6,7,6,6,3
"tufts",2,6,2,2,2
"tufts",6,7,7,6,5
"tufts",6,6,6,5,4
"uiuc",5,5,6,6,2
"tufts",7,7,7,7,7
"uiuc",3,5,5,6,3
"uiuc",3,3,3,4,3
"uiuc",5,6,6,6,2
"uiuc",5,6,6,5,7
"uva",6,7,6,7,6
"uva",6,6,6,2,6
"uva",6,6,6,6,6
"uva",3,5,3,5,2
"uva",5,5,6,5,2
"ufl",7,7,7,7,7
"uva",7,7,7,7,5
"uva",4,6,7,7,2
"ufl",5,6,6,7,2
"ufl",6,6,6,6,5
"tufts",5,6,5,6,6
"ufl",5,6,5,6,6
"ufl",5,5,6,5,2
"ufl",6,5,6,6,6
"plu",2,7,6,7,2
"bc",4,6,6,4,3
"bc",5,7,6,5,6
"bc",7,6,5,6,4
"bc",6,5,6,5,6
"bc",5,7,6,5,6
"bc",6,7,6,6,7
"bc",6,6,5,5,6
"tufts",7,7,6,7,6
"uva",3,6,5,6,7
"uva",6,6,6,7,3
"uva",5,5,5,4,5
"uva",6,6,6,5,6
"tufts",6,6,7,6,6
"uva",2,3,5,2,2
"uva",5,6,5,6,7
"uva",3,6,5,2,3
"uva",3,4,6,5,2
"tufts",5,6,6,6,6
"uva",4,6,6,3,5
"uva",6,7,7,7,6
"uva",7,7,7,7,6
"uva",5,5,6,6,3
"uva",5,4,5,5,3
"uiuc",6,5,6,6,1
"uiuc",2,4,2,3,5
"uiuc",5,6,6,6,5
"tufts",7,7,5,7,5
"tufts",5,7,5,7,3
"uiuc",6,6,6,6,5
"uiuc",7,7,7,7,7
"tufts",5,5,5,6,6
"tufts",2,6,2,7,5
"bc",5,5,5,6,5
"uva",1,3,2,3,1
"uva",4,5,5,3,4
"uva",6,7,7,6,7
"bc",3,5,5,4,6
"uva",5,7,7,7,5
"tufts",5,5,4,4,3
"uva",4,5,5,5,4
"uva",5,5,6,6,3
"tufts",3,4,4,2,1
"tufts",6,6,6,6,6
"uva",3,4,5,3,5
"bc",7,7,6,7,3
"uva",6,6,7,7,7
"uva",6,6,6,6,6
"bc",5,5,7,6,6
"uva",6,5,6,6,5
"uva",6,7,3,2,2
"bc",5,5,6,6,5
"uva",4,6,4,3,4
"uva",6,6,7,7,6
"ufl",5,6,6,7,5
"tufts",6,6,6,6,6
"ufl",5,6,4,5,3
"ufl",5,5,5,5,5
"uva",7,7,7,7,5
"ufl",4,5,6,6,2
"ufl",6,6,6,6,6
"ufl",6,6,6,7,5
"ufl",5,5,6,5,7
"uva",7,7,7,7,4
"uva",5,6,5,6,1
"ufl",2,7,6,7,2
"ufl",5,5,5,5,3
"uva",7,7,6,7,7
"uiuc",5,5,5,3,3
"bc",5,6,6,3,3
"uiuc",5,6,6,6,6
"uva",6,5,6,6,6
"uiuc",7,7,7,7,5
"uiuc",2,2,2,2,3
"uiuc",5,3,6,5,5
"bc",5,6,4,2,3
"uiuc",4,6,6,4,6
"uiuc",2,5,3,6,1
"uiuc",5,6,6,6,5
"uiuc",5,6,6,6,6
"uiuc",6,6,6,6,6
"uiuc",6,6,6,7,7
"uiuc",4,5,5,3,4
"bc",6,6,6,6,5
"bc",6,7,6,5,5
"bc",3,4,6,5,5
"bc",3,6,4,4,3
"bc",5,6,6,6,6
"bc",5,5,6,6,2
"bc",5,7,7,6,5
"bc",3,2,6,5,2
"tufts",5,5,5,7,7
"ufl",2,2,6,3,6
"bc",6,6,6,6,5
"ufl",4,4,5,4,6
"ufl",4,5,4,5,5
"ufl",6,6,6,6,3
"bc",6,7,7,6,6
"bc",5,7,6,3,5
"bc",5,5,5,5,4
"bc",6,6,6,6,6
"bc",5,5,5,5,5
"bc",1,7,2,3,2
"bc",5,7,6,5,6
"bc",7,7,7,7,7
"bc",5,6,6,7,4
"bc",6,5,7,5,4
"bc",4,5,7,6,3
"ithaca",7,7,7,7,7
"ithaca",5,3,3,3,2
"marian",6,6,5,5,6
"marian",7,7,7,7,7
"marian",5,6,7,6,6
"marian",7,7,7,7,5
"marian",6,5,6,6,6
"marian",5,5,5,6,2
"ithaca",3,3,5,5,4
"ithaca",6,6,6,6,2
"ithaca",6,5,6,6,6
"ithaca",7,5,7,7,7
"ithaca",6,6,7,7,5
"ithaca",5,6,5,6,2
"ithaca",6,7,5,5,4
"ithaca",6,7,7,6,6
"ithaca",6,6,7,7,7
"ithaca",6,5,6,7,6
"ithaca",5,5,5,6,5
"ithaca",2,3,3,5,1
"ithaca",6,6,6,6,5
"ithaca",7,7,7,6,6
"ithaca",3,2,5,6,5
"ithaca",7,7,7,6,7
"williampat",6,6,7,6,5
"williampat",5,6,5,2,5
"ithaca",5,5,3,6,5
"mariantab",2,2,3,5,4
"ithaca",6,7,7,7,6
"ithaca",5,3,4,4,2
"ithaca",6,4,6,5,2
"ithaca",5,6,6,5,6
"ithaca",7,7,7,7,7
"ithaca",6,4,3,6,4
"occidtab",3,6,3,7,3
"ithaca",4,3,6,3,6
"ithaca",7,7,7,7,5
"psuabingtontab",2,2,4,4,1
"psuabington",6,6,7,5,2
"psuabington",1,5,2,4,7
"umich",4,5,7,6,5
"umich",7,6,7,7,6
"umich",3,6,6,6,5
"umich",2,3,6,5,3
"umich",5,3,6,6,5
"umich",5,6,5,3,3
"umich",5,6,5,5,3
"psuabington",4,4,4,3,2
"psuabingtontab",6,6,6,4,2
"psuabingtontab",5,5,6,6,4
"psuabington",5,4,6,4,4
"psuabingtontab",4,5,4,5,5
"psuabingtontab",4,5,5,7,4
"psuabington",4,5,6,5,2
"psuabingtontab",5,4,6,5,3
"ithaca",5,5,5,6,7
"ithaca",2,5,5,4,2
"ithaca",6,6,6,7,3
"ithaca",5,3,3,3,3
"ithaca",3,6,3,5,2
"psuabingtontab",5,6,6,6,6
"psuabington",2,2,1,2,1
"ithaca",3,3,4,7,4
"umich",5,5,6,6,5
"occidtab",1,1,2,6,2
"umich",4,5,3,3,2
"psuabington",5,5,5,5,3
"psuabington",3,4,3,2,2
"psuabington",3,4,5,5,7
"williampat",5,5,5,5,5
"ithaca",6,7,7,7,7
"williampat",5,6,5,6,1
"umich",6,6,6,6,6
"psuabingtontab",4,4,5,4,3
"psuabingtontab",4,1,6,3,3
"umich",5,6,6,6,5
"umich",5,6,7,5,6
"psuabingtontab",3,5,7,5,6
"psuabingtontab",6,7,6,7,5
"psuabington",1,4,5,5,1
"ithaca",5,6,6,7,5
"ithaca",5,7,6,2,5
"ithaca",3,5,4,3,5
"ithaca",5,7,5,5,3
"ithaca",7,7,7,7,7
"psuabingtontab",5,6,7,4,7
"marian",6,6,6,6,6
"umich",3,4,3,4,4
"marian",4,2,7,7,5
"psuabingtontab",6,7,6,5,3
"psuabington",1,2,3,2,6
"williampat",3,6,1,6,3
"williampat",5,5,4,5,2
"ithaca",7,7,7,7,7
"williampat",4,5,6,3,5
"psuabingtontab",7,7,7,7,5
"williampat",4,3,5,6,1
"williampat",4,5,5,4,4
"williampat",7,7,7,6,6
"psuabingtontab",1,1,6,3,2
"psuabington",5,5,6,7,1
"psuabington",3,5,5,7,2
"umich",6,6,6,6,6
"umich",6,7,7,7,6
"umich",6,7,7,6,6
"umich",4,5,6,3,1
"umich",6,6,6,6,6
"umich",1,5,6,4,1
"umich",4,5,6,4,5
"umich",4,6,6,5,3
"umich",5,6,7,5,6
"umich",6,6,6,5,4
"umich",5,5,5,5,4
"umich",7,7,6,6,7
"tamu",6,7,7,7,7
"tamu",7,7,7,7,7
"psuabingtontab",7,7,6,6,6
"tamu",6,6,6,5,6
"psuabington",4,5,6,5,3
"psuabington",6,7,6,6,5
"tamu",6,6,6,6,5
"psuabington",6,6,6,6,4
"tamu",6,6,7,6,6
"psuabington",4,3,6,6,4
"psuabington",3,3,4,2,2
"psuabington",4,2,2,3,2
"tamu",3,5,3,5,6
"psuabington",5,5,5,4,4
"psuabington",6,5,6,6,5
"psuabingtontab",3,4,3,3,2
"psuabingtontab",5,6,6,6,6
"tamu",5,6,7,6,7
"tamu",5,6,6,5,5
"psuabingtontab",5,3,6,6,2
"psuabington",6,6,7,6,5
"tamu",6,7,7,6,5
"tamu",2,1,2,3,2
"tamu",6,6,5,7,6
"marianipad",5,5,5,6,5
"tamu",5,6,5,5,3
"tamu",5,5,6,5,5
"tamu",6,7,6,6,5
"tamu",5,5,6,6,2
"tamu",5,6,5,5,5
"williampat",6,6,6,4,3
"williampat",5,6,5,6,2
"tamu",4,4,1,4,2
"tamu",3,6,5,6,3
"tamu",5,5,6,6,6
"williampat",3,3,4,4,3
"tamu",3,5,5,6,4
"tamu",5,4,5,5,3
"tamu",5,6,6,7,3
"psuabington",2,2,4,3,2
"tamu",4,5,6,3,3
"tamu",5,5,5,5,5
"tamu",4,5,6,6,3
"psuabingtontab",2,4,5,3,2
"marianipad",4,6,5,5,2
"tamu",6,5,7,6,6
"tamu",6,6,6,6,3
"tamu",6,3,5,5,1
"tamu",5,5,5,5,3
"tamu",5,5,6,3,4
"psuabington",7,7,7,7,7
"tamu",5,4,6,4,6
"psuabington",3,3,5,3,2
"tamu",6,6,6,5,5
"psuabington",5,4,5,4,4
"psuabington",3,5,5,2,3
"psuabington",4,4,4,4,4
"tamu",6,7,6,6,6
"tamu",6,4,6,7,5
"tamu",2,3,3,2,1
"tamu",5,6,6,5,5
"tamu",7,7,7,6,7
"tamu",6,6,6,6,3
"tamu",5,3,3,5,3
"tamu",7,7,7,7,4
"tamu",4,6,5,7,3
"williampat",3,3,3,3,3
"psuabingtontab",5,6,5,2,3
"psuabingtontab",5,6,6,6,3
"marianipad",5,5,5,5,5
"marian",6,5,6,5,6
"marian",6,6,7,6,1
"marian",4,5,5,5,4
"marian",7,7,7,7,2
"marian",5,6,6,6,2
"marian",3,7,5,6,6
"marian",6,4,6,5,3
"marian",5,4,5,5,3
"marian",5,5,5,5,5
"marian",4,4,4,3,3
"marian",6,4,7,3,2
"marian",6,6,6,7,6
"marian",2,3,6,3,6
"marian",7,7,7,7,7
"marian",3,4,3,1,1
"marian",5,6,6,5,7
"marian",5,7,7,7,6
"marian",6,7,7,7,7
"marian",2,5,6,5,1
"marian",4,2,4,5,3
"marian",2,5,5,3,3
"marian",4,3,5,1,4
"marian",2,3,5,7,4
"marian",6,6,5,5,5
"marianipad",4,4,4,5,4
"mariantab",5,5,5,5,5
"psuabingtontab",6,6,5,5,3
"psuabington",6,6,6,6,6
"psuabingtontab",5,7,7,7,3
"psuabington",5,5,5,5,4
"psuabington",4,5,5,5,3
"psuabington",5,6,7,7,5
"psuabington",3,4,6,5,1
"psuabingtontab",4,6,3,4,7
"psuabington",6,5,6,5,6
"psuabington",5,5,5,5,6
"psuabingtontab",6,6,6,5,3
"psuabington",3,3,4,3,2
"psuabingtontab",6,6,6,6,5
"williampat",2,3,3,3,3
"psuabington",5,5,6,6,6
"williampat",1,6,1,4,4
"psuabingtontab",2,3,1,5,1
"marianipad",6,3,6,7,7
"psuabington",5,5,6,5,5
"psuabington",2,5,3,3,1
"psuabington",4,5,6,6,5
"williampat",6,6,7,6,6
"psuabingtontab",5,5,7,5,5
"occid",7,7,7,5,5
"occid",6,7,6,6,5
"williampat",7,7,7,7,6
"williampat",3,5,3,3,3
"occidtab",6,6,6,6,6
"occid",3,6,5,5,5
"occid",5,6,6,5,5
"occidtab",5,5,3,7,6
"occid",7,7,7,6,5
"occid",5,6,6,5,6
"psuabingtontab",2,6,6,5,6
"psuabingtontab",2,4,4,4,4
"psuabingtontab",6,6,7,2,6
"occid",5,6,6,5,5
"occid",3,6,3,3,1
"occid",2,6,6,6,2
"occid",7,7,7,7,6
"occidtab",6,6,6,6,5
"umich",5,4,5,4,4
"umich",6,5,6,7,5
"umich",6,6,7,6,6
"umich",6,6,7,5,5
"umich",3,5,5,5,3
"umich",7,7,7,7,7
"psuabingtontab",3,3,4,2,1
"psuabingtontab",3,5,5,3,7
"psuabingtontab",4,5,5,4,4
"occidtab",7,7,7,6,6
"marianipad",2,6,5,2,4
"occidtab",4,5,7,6,2
"marianipad",2,1,1,4,2
"williampat",6,6,6,6,3
"williampat",6,2,4,5,3
"occid",3,5,4,5,6
"occidtab",5,6,6,5,5
"occid",5,5,5,3,2
"occid",6,6,6,7,6
"occidtab",3,6,6,4,7
"occidtab",5,5,5,5,3
"williampat",3,2,4,5,2
"williampat",5,6,5,7,6
"williampat",6,7,6,4,1
"williampat",5,5,6,7,6
"williampat",5,6,6,5,5
"williampat",5,4,5,6,3
"occidtab",5,7,5,5,2
"occid",4,4,4,7,4
"williampat",5,6,5,1,3
"williampat",7,7,7,7,7
"occid",6,7,5,5,6
"williampat",3,5,4,5,3
"williampat",6,6,6,6,6
"williampat",6,6,6,6,6
"williampat",5,6,7,7,5
"williampat",5,6,6,4,5
"occid",6,7,6,5,5
"occid",3,6,6,3,4
"occid",3,6,6,6,1
"occidtab",7,7,7,1,7
"occid",7,7,7,7,7
"occid",6,7,7,7,5
"williampat",6,6,6,6,6
"williampat",2,2,3,2,2
"umich",3,6,4,3,2
"umich",5,5,5,5,5
"umich",7,6,6,6,4
"umich",4,4,5,6,3
"umich",5,7,3,3,3
"umich",6,6,6,6,5
"umich",7,7,5,6,6
"umich",7,7,7,7,5
"umich",6,6,7,6,5
"umich",6,6,7,7,7
"umich",5,5,6,5,2
"umich",1,6,5,6,7
"umich",6,6,6,6,6
"umich",7,7,7,7,7
"umich",6,6,6,2,2
"umich",6,6,6,7,7
"occidtab",3,5,5,5,2
"umich",7,7,7,6,7
"umich",6,7,7,7,6
"occid",5,5,6,2,6
"williampat",6,6,6,5,5
"williampat",4,4,4,4,6
"psumain",3,5,5,1,2
"psumain",6,6,7,6,6
"psumain",6,6,6,6,6
"psumain",3,5,5,4,3
"psumain",7,7,7,7,7
"psumain",4,5,6,5,5
"psumain",6,5,6,7,2
"psumain",5,6,5,3,2
"psumain",5,6,6,5,5
"psumain",4,4,2,2,2
"psumain",4,6,6,6,6
"psumain",6,7,7,7,7
"psumain",4,3,5,2,2
"psumain",5,3,6,5,3
"psumain",5,5,6,6,6
"psumain",5,6,6,5,5
"williampat",5,4,5,5,4
"williampat",5,6,6,6,2
"mariantab",2,5,5,3,2
"occidtab",4,7,7,5,4
"williampat",6,6,6,6,6
"occidtab",6,4,7,7,7
"marianipad",5,7,1,1,1
"williampat",5,5,6,5,4
"occidtab",6,7,7,7,5
"occid",5,6,6,3,5
"occid",4,5,5,5,2
"psumain",6,6,7,6,6
"psumain",6,6,6,6,6
"psumain",6,6,6,6,6
"psumain",6,6,1,6,7
"psumain",6,7,6,7,6
"psumain",5,5,6,5,5
"psumain",5,7,6,2,3
"psumain",6,7,6,6,6
"psumain",7,7,7,7,7
"psumain",5,5,6,5,5
"psumain",4,5,5,5,6
"psumain",5,6,6,6,6
"psumain",7,7,6,7,7
"williampat",6,7,7,7,6
"psumain",4,6,5,5,3
"psumain",5,6,5,5,6
"psumain",7,7,7,7,7
"williampat",4,4,3,4,1
"williampat",6,6,6,6,6
"psumain",5,6,7,7,5
"psumain",6,6,6,6,6
"psumain",6,6,6,6,6
"psumain",6,5,6,3,5
"occid",2,5,3,3,2
"occid",3,6,5,6,3
"occid",1,4,1,2,1
"occid",6,7,5,7,3
"occid",5,7,7,7,7
"occidtab",6,7,6,7,5
"occidtab",5,6,6,3,3
"occid",2,6,7,4,5
"occid",6,6,7,6,6
"occid",5,5,6,6,6
"occid",5,6,6,7,5
"marianipad",5,5,5,5,5
"williampat",1,3,4,1,2
"williampat",4,4,4,3,4
"williampat",6,6,6,6,6
"williampat",3,4,5,3,2
"williampat",6,5,5,6,4
"williampat",5,5,5,6,4
"marianipad",6,4,6,7,1
"mariantab",5,6,4,5,1
"mariantab",6,5,7,6,6
"marianipad",3,5,6,2,4
"mariantab",3,4,3,5,2
"marian",4,3,4,6,1
"marian",1,6,6,1,1
"marian",6,6,6,7,5
"williampat",4,6,7,5,5
"williampat",3,5,5,5,2
"williampat",6,7,7,6,5
"williampat",2,3,4,1,2
"occidtab",5,5,5,4,3
"mariantab",7,6,7,3,6
"occidtab",3,4,5,3,7
"mariantab",5,4,5,5,3
"occid",5,5,5,5,1
"occid",3,3,3,5,2
"williampat",7,7,7,7,7
"williampat",1,2,3,1,1
"occidtab",1,6,6,4,1
"occid",6,7,6,6,7
"occidtab",5,5,5,5,3
"marianipad",3,6,5,2,3
"williampat",6,4,6,5,7
"williampat",4,6,5,5,5
"williampat",5,5,6,4,3
"williampat",5,2,5,5,2
"williampat",5,5,5,5,3
"williampat",5,5,4,6,6
"mariantab",1,1,3,4,1
"williampat",5,6,5,4,5
"psuabingtontab",4,4,5,5,5
"occidtab",2,5,3,7,6
"occid",6,7,6,6,2
"occidtab",6,7,7,5,7
"psuabingtontab",4,4,5,5,5
"psuabingtontab",4,4,5,4,3
"psuabingtontab",5,6,6,5,5
"occidtab",5,7,4,5,5
"occidtab",5,6,6,5,6
"occidtab",5,7,7,7,4
"occidtab",5,3,5,7,7
"occidtab",5,6,6,6,2
"occidtab",5,6,7,5,6
"occidtab",4,7,5,3,5
"occid",5,6,6,6,4
"mturk",3,4,5,5,1
"mturk",5,5,6,5,5
"mturk",2,2,3,5,1
"mturk",4,5,6,2,2
"mturk",6,6,7,7,7
"mturk",7,7,7,7,7
"mturk",7,7,7,7,7
"mturk",4,4,5,5,2
"mturk",7,6,7,7,3
"mturk",3,3,5,5,2
"mturk",3,5,6,6,3
"mturk",3,4,5,5,2
"mturk",5,5,5,5,6
"mturk",7,5,4,5,6
"mturk",7,6,6,7,7
"mturk",5,5,6,6,3
"mturk",5,5,6,6,6
"mturk",6,6,6,6,6
"mturk",6,3,5,5,5
"mturk",5,5,6,5,6
"mturk",7,5,7,5,7
"mturk",3,3,3,3,1
"mturk",6,6,6,6,6
"mturk",5,6,7,6,5
"mturk",5,2,5,5,3
"mturk",6,6,7,7,6
"mturk",2,3,3,3,2
"mturk",7,5,6,6,6
"mturk",3,2,3,3,2
"mturk",1,3,3,2,2
"mturk",2,2,2,2,2
"mturk",5,6,5,5,2
"mturk",6,7,7,6,5
"mturk",7,6,7,6,6
"mturk",5,5,6,5,4
"mturk",4,3,5,4,2
"mturk",5,5,5,5,4
"mturk",3,3,3,3,3
"mturk",6,6,6,6,6
"mturk",6,6,6,7,7
"mturk",5,5,5,5,2
"mturk",5,7,6,5,4
"mturk",3,5,5,6,3
"mturk",6,6,6,5,4
"mturk",5,6,5,5,5
"mturk",7,6,7,7,6
"mturk",2,5,1,5,1
"mturk",5,5,6,6,3
"mturk",6,6,6,5,7
"mturk",4,3,5,5,2
"mturk",1,1,1,1,1
"mturk",3,5,3,5,2
"mturk",5,5,6,5,5
"mturk",5,5,5,6,7
"mturk",5,5,5,5,2
"mturk",6,6,6,5,6
"mturk",6,5,6,5,5
"mturk",5,5,6,6,3
"mturk",5,6,5,7,4
"mturk",1,5,1,1,1
"mturk",6,6,6,6,6
"mturk",5,5,6,6,3
"mturk",6,6,7,6,6
"mturk",4,5,5,5,2
"mturk",6,6,6,5,5
"mturk",6,5,6,6,5
"mturk",1,1,1,1,1
"mturk",2,2,2,2,2
"mturk",6,6,6,6,6
"mturk",5,4,5,5,3
"mturk",6,6,6,6,6
"mturk",2,1,6,6,6
"mturk",2,5,5,5,2
"mturk",7,7,7,7,7
"mturk",5,5,6,6,6
"mturk",4,4,4,4,4
"mturk",2,3,2,3,2
"mturk",5,5,6,5,5
"mturk",4,5,5,4,2
"mturk",5,5,5,6,2
"mturk",4,5,5,5,2
"mturk",6,6,5,5,5
"mturk",6,6,6,7,6
"mturk",2,3,3,2,2
"mturk",6,6,6,6,2
"mturk",5,5,6,5,2
"mturk",6,5,7,6,7
"mturk",7,7,7,7,7
"mturk",6,5,6,6,5
"mturk",3,3,4,3,2
"mturk",5,5,5,5,5
"mturk",2,1,2,2,1
"mturk",2,2,2,2,1
"mturk",2,5,5,3,1
"mturk",5,6,5,5,5
"mturk",6,6,6,6,6
"mturk",5,4,5,6,2
"mturk",2,3,2,1,2
"mturk",3,3,3,6,2
"mturk",7,7,7,6,2
"mturk",5,6,6,5,2
"mturk",7,7,7,7,4
"mturk",5,4,3,3,6
"mturk",1,2,1,2,2
"mturk",6,6,6,6,6
"mturk",1,1,1,1,1
"mturk",5,5,5,6,5
"mturk",3,3,3,3,2
"mturk",5,5,6,5,5
"mturk",3,3,2,4,5
"mturk",2,3,2,3,1
"mturk",4,6,4,6,3
"mturk",2,2,2,3,2
"mturk",2,3,3,5,1
"mturk",3,5,5,7,5
"mturk",1,1,4,4,1
"mturk",1,1,1,2,2
"mturk",2,4,2,2,2
"mturk",6,6,6,6,5
"mturk",5,5,5,5,3
"mturk",5,5,4,4,4
"mturk",3,4,5,3,3
"mturk",2,2,1,3,1
"mturk",2,3,4,3,1
"mturk",7,6,7,6,5
"mturk",4,5,5,5,1
"mturk",4,6,6,5,5
"mturk",3,4,3,5,2
"mturk",5,6,7,6,5
"mturk",3,3,4,5,2
"mturk",6,6,6,7,7
"mturk",1,6,1,2,7
"mturk",2,3,4,3,4
"mturk",2,2,3,2,3
"mturk",2,2,2,3,1
"mturk",4,4,3,5,4
"mturk",5,5,5,6,6
"mturk",1,1,1,1,1
"mturk",3,5,4,4,3
"mturk",5,5,5,5,6
"mturk",6,6,7,6,5
"mturk",5,6,6,3,2
"mturk",1,1,1,1,1
"mturk",6,5,5,3,7
"mturk",4,4,4,5,7
"mturk",5,5,5,4,4
"mturk",2,3,2,2,3
"mturk",4,5,5,5,2
"mturk",2,2,2,2,2
"mturk",3,3,4,5,4
"mturk",6,6,6,6,6
"mturk",5,5,4,3,4
"mturk",1,3,1,2,1
"mturk",7,7,7,7,7
"mturk",5,5,5,5,6
"mturk",5,5,6,3,6
"mturk",3,4,5,4,3
"mturk",1,1,1,1,1
"mturk",5,6,6,5,3
"mturk",2,3,3,3,2
"mturk",7,7,7,7,7
"mturk",5,5,5,6,2
"mturk",6,5,6,6,5
"mturk",6,6,6,6,5
"mturk",2,5,3,4,2
"mturk",2,2,2,2,2
"mturk",6,5,6,6,6
"mturk",3,4,4,5,3
"mturk",2,2,2,2,1
"grazvienna",5,5,7,6,6
"grazvienna",6,7,7,7,3
"grazvienna",5,6,6,3,5
"grazvienna",6,7,6,6,7
"grazvienna",5,5,7,5,7
"grazvienna",5,5,5,5,5
"grazvienna",5,6,6,6,6
"grazvienna",5,6,6,7,6
"grazvienna",5,3,5,5,5
"grazvienna",3,4,4,5,3
"grazvienna",6,6,6,5,5
"grazvienna",3,6,5,4,5
"grazvienna",3,3,5,5,3
"grazvienna",6,7,6,7,7
"grazvienna",3,5,4,3,2
"grazvienna",6,7,7,7,7
"grazvienna",6,7,7,6,6
"grazvienna",7,7,7,6,6
"grazvienna",4,4,5,5,5
"grazvienna",3,5,6,3,5
"grazvienna",6,5,6,4,6
"grazvienna",5,4,5,6,4
"grazvienna",6,5,5,5,6
"grazvienna",3,5,5,4,2
"grazvienna",6,6,6,5,7
"grazvienna",6,7,7,7,7
"grazvienna",5,6,7,5,2
"grazvienna",4,2,6,4,3
"grazvienna",6,6,6,6,6
"grazvienna",6,6,7,6,6
"grazvienna",3,6,2,4,3
"grazvienna",2,2,2,2,1
"grazvienna",6,7,6,6,7
"grazvienna",6,6,6,5,6
"grazvienna",2,2,4,5,4
"grazvienna",5,6,7,7,7
"grazvienna",6,7,6,6,6
"grazvienna",4,5,4,3,4
"grazvienna",3,3,5,5,3
"grazvienna",5,6,6,5,5
"grazvienna",4,6,6,5,4
"grazvienna",2,2,4,2,2
"grazvienna",5,6,5,6,4
"grazvienna",5,5,6,5,6
"grazvienna",6,6,6,6,6
"grazvienna",2,5,5,4,5
"grazvienna",5,7,5,7,5
"grazvienna",2,6,5,3,5
"grazvienna",7,7,7,7,7
"grazvienna",6,6,7,6,6
"grazvienna",6,5,6,6,7
"grazvienna",6,6,6,7,6
"grazvienna",5,6,6,6,6
"grazvienna",5,5,7,4,6
"potsdam",3,4,5,3,3
"potsdam",5,5,6,5,4
"potsdam",5,1,7,5,4
"potsdam",6,6,6,6,6
"potsdam",5,5,5,5,5
"potsdam",5,4,6,1,1
"potsdam",6,5,6,7,6
"potsdam",6,6,7,6,5
"potsdam",5,3,6,5,3
"potsdam",3,2,5,4,4
"potsdam",6,5,6,6,6
"potsdam",5,7,5,5,4
"potsdam",5,5,5,3,3
"potsdam",6,6,6,5,5
"potsdam",5,4,6,5,6
"potsdam",5,5,4,5,4
"potsdam",4,6,6,5,4
"potsdam",6,6,7,7,6
"potsdam",3,6,5,6,3
"potsdam",5,6,6,5,6
"potsdam",2,3,4,3,6
"potsdam",5,3,5,6,6
"potsdam",5,5,6,6,5
"potsdam",5,7,6,7,6
"potsdam",5,4,6,6,6
"potsdam",2,3,3,5,2
"potsdam",6,6,5,5,5
"potsdam",3,4,5,6,3
"potsdam",6,6,5,7,3
"potsdam",4,6,6,4,4
"potsdam",6,6,6,6,6
"potsdam",5,6,6,6,5
"potsdam",5,4,6,6,5
"potsdam",2,5,4,5,6
"potsdam",3,4,5,4,3
"potsdam",5,5,7,6,6
"potsdam",3,6,4,6,3
"potsdam",2,4,3,2,2
"potsdam",6,6,6,6,5
"potsdam",6,7,7,6,5
"potsdam",6,6,6,5,6
"potsdam",4,3,5,6,2
"potsdam",5,6,6,6,6
"brasilia",4,7,5,6,3
"brasilia",2,3,3,5,4
"brasilia",4,2,5,6,2
"brasilia",5,5,6,5,3
"brasilia",6,5,7,6,5
"brasilia",2,2,2,5,5
"brasilia",3,3,5,5,6
"brasilia",6,4,6,6,3
"brasilia",5,5,6,6,6
"brasilia",6,5,6,6,5
"brasilia",2,4,5,5,2
"brasilia",4,4,5,5,3
"brasilia",3,3,5,6,3
"brasilia",5,7,5,3,7
"brasilia",5,5,5,6,3
"brasilia",5,5,6,6,3
"brasilia",5,4,5,6,3
"brasilia",5,6,3,5,3
"brasilia",6,6,6,6,3
"brasilia",4,4,4,4,4
"brasilia",5,7,6,6,5
"brasilia",3,4,4,5,3
"brasilia",5,7,5,3,2
"brasilia",3,6,2,6,1
"brasilia",6,7,6,6,7
"brasilia",5,5,7,6,6
"brasilia",4,6,5,4,2
"brasilia",7,7,7,4,6
"brasilia",3,5,6,4,5
"brasilia",6,4,5,6,3
"brasilia",5,7,6,5,6
"brasilia",1,1,3,3,1
"brasilia",2,6,1,3,1
"brasilia",3,4,6,7,3
"brasilia",3,5,4,5,2
"brasilia",5,4,5,6,5
"brasilia",3,1,1,3,1
"brasilia",2,3,2,2,6
"brasilia",3,3,3,5,3
"brasilia",3,6,5,5,3
"brasilia",4,5,6,6,5
"brasilia",3,5,3,5,3
"brasilia",5,6,5,5,5
"brasilia",5,6,7,5,7
"brasilia",5,6,5,6,6
"brasilia",3,4,5,5,6
"brasilia",2,5,3,3,3
"brasilia",6,2,4,6,6
"wilfredlaur",3,5,3,2,1
"wilfredlaur",7,6,6,6,6
"wilfredlaur",7,7,7,6,7
"wilfredlaur",5,5,5,3,2
"wilfredlaur",5,7,6,6,5
"wilfredlaur",7,7,7,7,7
"wilfredlaur",5,5,5,5,3
"wilfredlaur",7,7,7,6,7
"wilfredlaur",1,5,2,3,1
"wilfredlaur",4,7,6,5,2
"wilfredlaur",7,7,7,6,6
