"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"mod_count","numeric",77,0,5,1.1038961038961,1,1,NA,1.15376290075944,NA,0,4,4,0.814983378180858,1.48769498230206,-0.131554760281014,-0.121481573193548,NA,NA
"mod_total","numeric",77,0,7,2.33766233766234,3,3,NA,1.93043756704883,NA,0,6,6,0.0435730926640896,0.0795396238196205,-1.36847290333078,-1.263688526468,NA,NA
"mod_ratio","numeric",52,0.324675324675325,10,0.550963461538462,0.5,0.5,NA,0.258885981435576,NA,0,1,1,-0.341875268766808,-0.517344201863249,0.138958810804258,0.106876060992455,NA,NA
"MP_total","numeric",77,0,11,13.7922077922078,14,14,NA,2.76413907001069,NA,9,19,10,-0.0414034482569598,-0.0755790901642329,-0.921813475148508,-0.851229943430742,NA,NA
"MP_count","numeric",77,0,10,9.55844155844156,10,10,NA,2.0032441221646,NA,5,15,10,-0.011893520929299,-0.021710788075111,-0.0812542209677458,-0.0750325611227807,NA,NA
"QMP_ratio","numeric",77,0,33,0.285315584415584,0.2667,0.2667,NA,0.174275551675572,NA,0,0.6875,0.6875,0.239444353489852,0.437088869250978,-0.647607215200531,-0.598019738289981,NA,NA
"op_REV_count","numeric",77,0,3,4.67532467532468,5,5,NA,0.594748032486258,NA,3,5,2,-1.61613063071116,-2.95013308789238,1.47787817819978,1.36471660692946,NA,NA
"op_REV_total","numeric",77,0,1,5,5,5,NA,0,NA,5,5,0,NA,NA,NA,NA,NA,NA
"op_REV_ratio","numeric",77,0,3,0.0649350649350649,0,0,NA,0.118949606497252,NA,0,0.4,0.4,1.61613063071116,2.95013308789239,1.47787817819979,1.36471660692947,NA,NA
"sel_REV_count","numeric",77,0,4,1.96103896103896,2,2,NA,0.471323959477824,NA,1,4,3,0.617443673587986,1.12710010982231,4.79548472945636,4.42829303869797,NA,NA
"sel_REV_total","numeric",77,0,3,2.92207792207792,3,3,NA,0.956504515716,NA,2,4,2,0.152720117000724,0.278779859615912,-1.9035074759026,-1.75775534282738,NA,NA
"sel_REV_ratio","numeric",77,0,6,0.254327272727273,0.25,0.25,NA,0.271009115517873,NA,0,0.75,0.75,0.348433583497647,0.63604106256992,-1.4646917964609,-1.35253991035879,NA,NA
"quant_REV_count","numeric",77,0,4,2.22077922077922,2,2,NA,0.661405533362507,NA,1,4,3,0.545393695903989,0.995577930174036,0.553558668528103,0.511172516783681,NA,NA
"quant_REV_total","numeric",77,0,4,2.75324675324675,3,3,NA,0.829645519671919,NA,1,4,3,0.338428077656944,0.617776713586714,-1.23764264936194,-1.14287598392301,NA,NA
"quant_REV_ratio","numeric",77,0,6,0.153676623376623,0,0,NA,0.22420347131926,NA,0,0.75,0.75,1.09205687299867,1.99347320920215,-0.131359876889943,-0.121301612081643,NA,NA
"mod_REV_count","numeric",77,0,5,1.05194805194805,1,1,NA,1.17983165498642,NA,0,4,4,0.707754122835005,1.29195549925875,-0.575824917717237,-0.531733832655775,NA,NA
"mod_REV_total","numeric",77,0,5,1.19480519480519,1,1,NA,1.29816632864004,NA,0,4,4,0.674248880668908,1.23079403022048,-0.689687892235261,-0.636878285379488,NA,NA
"mod_REV_ratio","numeric",42,0.454545454545455,6,0.113092857142857,0,0,NA,0.246120479512657,NA,0,1,1,2.40281833883123,3.28828327724013,5.40714817918233,3.77260762232408,NA,NA
"MP_REV_count","numeric",77,0,8,10.3896103896104,10,10,NA,1.76333896908412,NA,7,14,7,0.145050871640901,0.264780190241894,-0.442984688569865,-0.409065219328955,NA,NA
"MP_REV_total","numeric",77,0,9,12.7792207792208,13,13,NA,2.13136586194329,NA,9,17,8,0.0194473450351994,0.0354997640473874,-1.03105215030952,-0.952104180773365,NA,NA
"QMP_REV_ratio","numeric",77,0,29,0.174741558441558,0.1538,0.1538,NA,0.137905374070554,NA,0,0.5,0.5,0.611518022331129,1.11628324916268,-0.379619650767178,-0.350552061300344,NA,NA
