"g","sysjust1","sysjust2","sysjust3","sysjust4","sysjust5","sysjust6","sysjust7","sysjust8"
"mturk   ",4,1,1,7,3,1,1,1
"mcdaniel",5,4,5,5,3,5,4,3
"mturk   ",5,5,5,6,5,5,4,5
"mturk   ",3,2,2,4,3,2,2,2
"mturk   ",5,5,5,7,6,2,5,2
"mturk   ",4,5,4,4,5,6,4,5
"pi      ",2,3,4,3,5,2,4,2
"mturk   ",5,2,4,7,5,7,3,5
"abington",6,4,5,7,5,7,2,4
"abington",3,5,5,4,4,5,5,4
"mturk   ",3,3,4,5,4,3,2,3
"mturk   ",5,5,4,5,4,5,4,3
"mturk   ",4,2,3,4,5,2,4,2
"mturk   ",7,5,7,7,6,6,3,6
"mturk   ",2,5,7,5,5,2,6,2
"pi      ",4,3,3,4,2,3,6,1
"mturk   ",4,3,3,3,6,5,2,6
"mturk   ",1,1,1,4,1,1,3,1
"pi      ",1,4,3,3,5,4,1,3
"mturk   ",6,6,7,4,5,5,NA,6
"mturk   ",2,3,3,4,2,1,4,1
"mturk   ",3,1,3,3,1,2,3,4
"mturk   ",5,3,3,5,3,7,3,3
"mturk   ",7,5,7,6,6,6,3,7
"mturk   ",4,3,4,5,5,3,3,3
"mturk   ",3,5,5,4,5,2,6,2
"mturk   ",4,5,3,5,5,5,5,5
"mturk   ",5,5,6,6,NA,5,4,5
"mturk   ",2,1,2,2,3,1,1,1
"mturk   ",6,6,6,6,6,6,4,6
"mturk   ",4,5,4,4,4,3,5,5
"mturk   ",4,5,4,3,3,5,4,3
"mturk   ",5,5,4,6,5,3,5,5
"mturk   ",5,5,6,6,5,2,4,3
"mcdaniel",4,3,6,6,5,5,6,3
"mturk   ",2,2,2,4,1,4,1,1
"mturk   ",5,5,6,6,5,6,3,5
"mturk   ",3,2,3,4,4,3,2,4
"abington",7,1,4,1,6,4,1,1
"mturk   ",3,4,5,5,2,6,5,5
"abington",3,2,1,5,3,3,3,5
"mturk   ",2,1,4,1,2,2,4,2
"mturk   ",4,3,4,6,4,4,4,3
"mturk   ",5,5,6,7,7,7,7,6
"mturk   ",5,3,5,3,5,5,5,5
"mturk   ",5,5,4,6,6,5,3,6
"mturk   ",2,1,2,7,4,1,3,1
"mturk   ",5,6,7,7,5,5,1,5
"mturk   ",3,3,4,2,4,4,3,3
"abington",4,5,5,4,5,3,4,3
"mturk   ",5,5,6,4,5,4,3,5
"pi      ",5,3,4,3,4,3,3,5
"mturk   ",5,5,4,7,7,6,6,4
"mturk   ",3,2,3,6,3,2,3,3
"mturk   ",3,3,3,4,3,3,3,3
"abington",5,5,4,6,5,6,4,4
"mturk   ",5,7,7,4,4,1,5,5
"mturk   ",4,5,4,6,3,4,3,3
"mturk   ",4,4,4,4,4,5,4,4
"mturk   ",2,1,3,6,3,2,3,2
"mturk   ",3,2,3,4,3,2,3,3
"abington",5,6,5,4,5,3,1,3
"pi      ",3,2,3,2,3,2,5,2
"pi      ",5,3,7,7,6,3,4,5
"abington",1,1,5,1,1,1,2,2
"pi      ",1,1,1,1,4,4,4,4
"pi      ",5,1,1,4,2,4,5,2
"pi      ",5,1,5,1,6,5,5,3
"pi      ",2,3,5,5,5,4,2,3
"pi      ",6,4,4,7,4,4,3,3
"pi      ",1,1,3,5,2,1,4,2
"pi      ",4,3,7,7,5,3,2,5
"pi      ",1,1,1,4,1,3,4,3
"pi      ",5,5,3,4,5,4,5,4
"pi      ",3,2,3,1,3,1,2,2
"pi      ",4,5,5,3,5,2,4,5
"pi      ",7,3,6,6,5,5,4,4
"pi      ",1,2,3,2,2,2,1,2
"pi      ",4,4,4,6,4,4,4,4
"mcdaniel",2,4,7,3,4,2,4,2
"pi      ",1,2,6,7,3,6,3,5
"pi      ",4,1,4,4,4,1,4,1
"pi      ",3,1,2,1,2,2,2,2
"pi      ",3,2,4,5,3,1,4,1
"pi      ",1,2,2,6,3,4,2,4
"pi      ",3,4,3,4,4,3,4,5
"pi      ",3,3,5,5,5,5,6,5
"pi      ",3,1,3,3,3,1,5,3
"mturk   ",NA,3,2,5,3,5,3,4
"mturk   ",3,3,6,6,6,3,7,4
"mturk   ",4,3,3,2,4,3,5,2
"mturk   ",3,3,3,6,4,5,2,4
"mturk   ",7,5,7,7,7,7,4,7
"mturk   ",4,5,6,5,5,5,5,4
"mturk   ",6,6,6,6,6,6,4,6
"mturk   ",2,1,2,4,3,2,3,2
"mturk   ",5,4,5,5,3,5,5,3
"mturk   ",2,2,2,3,2,1,5,1
"mturk   ",5,4,5,5,5,1,3,3
"mturk   ",4,3,3,3,4,4,3,5
"mturk   ",3,2,2,2,2,1,4,2
"mturk   ",4,2,4,7,4,6,3,5
"mturk   ",3,2,3,7,4,2,3,2
"pi      ",5,3,5,6,4,2,5,5
"mturk   ",4,3,3,7,3,3,3,3
"mturk   ",4,2,3,6,4,4,4,3
"mturk   ",2,1,1,1,4,5,2,1
"mturk   ",3,4,4,7,5,7,3,3
"mturk   ",NA,3,5,5,2,3,3,3
"mturk   ",1,1,1,4,4,1,1,1
"mturk   ",3,3,6,2,5,3,5,3
"mturk   ",2,1,1,3,1,4,5,1
"mturk   ",5,5,4,7,6,7,5,4
"mturk   ",4,1,4,1,1,1,1,1
"mturk   ",3,5,4,6,6,3,4,3
"mturk   ",2,1,1,6,4,4,3,6
"mturk   ",2,1,5,6,2,2,2,2
"mturk   ",6,2,1,7,3,5,2,2
"mturk   ",3,2,4,5,4,2,4,4
"mturk   ",6,5,6,4,6,6,1,7
"mturk   ",3,3,3,5,3,2,2,3
"mturk   ",6,4,NA,7,5,6,3,5
"mturk   ",4,5,7,4,5,3,6,2
"mturk   ",5,6,4,7,6,7,4,6
"mturk   ",7,7,7,4,6,5,4,7
"mturk   ",3,3,3,5,5,3,2,2
"mturk   ",4,2,2,2,2,2,4,3
"mturk   ",6,5,2,7,5,6,1,3
"mturk   ",6,6,4,7,6,4,3,5
"mturk   ",3,NA,2,1,3,1,3,2
"mturk   ",1,1,1,1,1,1,1,1
"mturk   ",3,2,3,1,2,2,4,3
"mturk   ",5,3,3,4,2,1,3,4
"mturk   ",5,3,4,5,5,5,2,5
"mturk   ",6,3,5,6,6,6,5,6
"mturk   ",5,4,5,6,4,5,4,5
"mturk   ",5,2,3,2,3,3,4,4
"mturk   ",5,5,4,5,4,3,4,3
"mturk   ",1,1,1,1,5,1,3,1
"mturk   ",2,2,2,5,4,2,2,1
"mturk   ",3,2,4,4,3,2,4,3
"mturk   ",5,NA,2,6,5,4,3,3
"mturk   ",2,1,2,1,2,2,3,2
"mturk   ",6,6,6,5,5,7,6,4
"mturk   ",5,4,3,6,6,6,1,6
"mturk   ",3,2,3,7,2,2,2,2
"mturk   ",4,3,1,7,5,5,3,2
"mturk   ",1,2,2,3,2,5,2,5
"mturk   ",3,3,2,4,4,1,4,1
"mturk   ",3,2,4,7,4,1,4,2
"mturk   ",3,2,5,4,2,1,4,3
"mturk   ",3,3,3,4,4,2,4,3
"mturk   ",5,2,2,4,3,1,1,5
"mturk   ",7,4,7,7,5,7,7,7
"mturk   ",2,1,2,5,1,3,3,3
"mturk   ",7,7,3,6,7,7,2,7
"mturk   ",5,2,3,5,5,3,2,4
"mturk   ",3,5,6,5,4,5,6,3
"mturk   ",5,3,3,5,5,1,4,3
"mturk   ",3,1,1,4,2,5,1,2
"mturk   ",3,1,1,1,3,2,2,2
"mturk   ",2,1,1,4,1,5,1,5
"mturk   ",6,5,4,5,5,5,4,5
"mturk   ",6,5,5,7,5,3,3,3
"mturk   ",2,3,2,5,3,1,1,4
"mturk   ",7,3,3,5,5,5,5,5
"mturk   ",5,3,4,5,3,5,3,5
"mturk   ",5,5,5,5,6,5,3,3
"mturk   ",4,3,4,6,5,3,4,4
"mturk   ",3,5,6,5,3,5,4,3
"mturk   ",3,NA,4,5,5,2,4,3
"mturk   ",4,2,2,6,3,4,3,3
"mturk   ",4,3,3,3,4,3,3,5
"mturk   ",3,1,1,4,3,5,1,3
"mturk   ",5,4,3,3,4,6,3,4
"mturk   ",6,6,6,7,6,5,7,5
"mturk   ",3,1,3,4,1,5,1,2
"mturk   ",2,2,2,5,5,6,5,2
"mturk   ",3,1,2,3,2,6,3,3
"mturk   ",3,1,3,4,3,2,2,6
"mturk   ",3,2,2,5,3,3,2,3
"mturk   ",1,1,1,1,1,1,1,1
"mturk   ",6,1,3,6,4,7,7,4
"mturk   ",3,2,2,3,3,2,1,3
"mturk   ",3,5,5,6,4,5,3,3
"mturk   ",1,1,6,4,3,1,2,1
"mturk   ",3,3,3,4,3,2,4,3
"mturk   ",5,5,6,7,5,5,6,5
"mturk   ",5,5,5,7,6,5,6,5
"mturk   ",1,1,1,4,1,1,1,1
"mturk   ",5,5,3,5,5,6,3,5
"mturk   ",2,2,2,6,4,5,1,2
"mturk   ",5,5,4,6,5,2,4,3
"mturk   ",6,6,6,6,4,5,5,6
"mturk   ",6,5,6,1,3,2,5,3
"mturk   ",5,3,5,6,5,3,3,5
"pi      ",3,2,3,5,5,NA,3,4
"mturk   ",NA,1,3,4,2,4,3,5
"mturk   ",5,3,4,6,4,5,4,5
"mturk   ",2,1,1,6,1,1,3,3
"mturk   ",3,3,2,5,3,2,3,3
"mturk   ",5,4,6,5,5,4,7,5
"mturk   ",2,2,3,4,4,2,2,4
"mturk   ",6,3,4,6,5,4,2,5
"mturk   ",4,5,3,5,5,3,4,4
"mturk   ",2,1,1,2,3,3,2,3
"mturk   ",1,3,2,5,3,1,1,1
"mturk   ",3,1,1,5,3,6,2,2
"mturk   ",4,1,2,7,5,5,3,2
"mturk   ",2,1,3,5,4,2,3,2
"mturk   ",4,4,3,4,4,5,3,4
"mturk   ",5,6,6,6,4,5,6,4
"abington",2,2,3,6,5,1,1,3
"abington",7,1,1,4,2,4,2,1
"abington",1,1,1,1,4,3,1,4
"mturk   ",3,1,2,3,3,7,3,2
"mturk   ",5,5,6,4,5,3,6,5
"abington",3,2,2,5,4,7,4,3
"abington",2,2,3,1,5,2,2,2
"abington",3,2,5,7,4,1,3,5
"abington",4,3,3,4,3,3,3,2
"pi      ",5,1,5,7,3,5,2,1
"mturk   ",7,7,4,3,4,4,4,4
"mturk   ",4,3,3,2,4,2,4,3
"mturk   ",4,2,2,3,3,2,3,3
"mturk   ",6,2,1,7,6,6,4,4
"mturk   ",6,6,6,7,2,6,3,6
"mturk   ",2,5,5,7,5,2,5,2
"mturk   ",1,3,3,6,5,2,1,1
"mturk   ",2,2,2,6,5,3,3,2
"mturk   ",3,5,2,7,4,3,1,3
"pi      ",4,2,4,2,2,1,4,4
"mturk   ",4,4,5,3,4,5,4,4
"mturk   ",2,2,2,4,2,2,4,2
"mturk   ",1,1,2,5,1,1,1,1
"mturk   ",3,3,3,5,4,3,4,2
"mturk   ",2,2,4,3,3,2,5,2
"abington",4,4,4,4,4,3,3,2
"abington",4,6,5,7,6,5,5,5
"mturk   ",1,3,3,3,2,1,4,1
"abington",1,2,4,5,3,1,2,2
"mturk   ",2,1,2,3,3,2,3,3
"abington",5,2,4,6,5,5,2,5
"abington",1,3,4,1,3,1,1,4
"mturk   ",5,NA,NA,6,5,5,4,5
"mturk   ",3,3,3,5,4,5,6,3
"mturk   ",1,1,3,4,3,2,2,2
"mturk   ",5,2,2,6,2,4,3,3
"mturk   ",5,5,7,7,4,1,5,2
"mturk   ",5,5,5,7,3,7,3,2
"mturk   ",3,2,4,4,5,2,4,4
"abington",1,5,4,3,4,1,5,4
"abington",4,3,3,5,3,4,2,4
"mturk   ",2,3,2,7,4,5,2,4
"abington",5,3,2,6,5,5,3,4
"abington",5,3,3,5,5,6,3,4
"abington",4,4,4,5,3,3,4,4
"mturk   ",5,5,5,3,5,2,5,2
"pi      ",4,1,4,7,3,2,1,1
"pi      ",3,2,3,6,6,1,5,2
"pi      ",1,1,4,4,4,4,3,3
"mturk   ",2,2,2,6,3,1,1,1
"mturk   ",6,5,7,7,5,7,4,6
"mturk   ",2,2,3,2,3,1,3,2
"mturk   ",3,3,3,3,5,3,4,5
"mturk   ",5,2,2,5,5,6,2,3
"mturk   ",3,2,2,NA,4,3,3,4
"mturk   ",5,6,3,7,7,2,4,3
"mturk   ",4,1,7,4,4,1,7,1
"mturk   ",5,5,4,5,5,4,4,5
"mturk   ",4,3,3,4,5,2,4,3
"pi      ",5,5,5,6,5,3,3,3
"mturk   ",7,5,7,7,5,5,7,5
"mturk   ",1,1,1,1,1,1,1,1
"mturk   ",7,7,7,7,7,7,7,7
"mturk   ",4,3,1,6,4,3,4,3
"mturk   ",2,2,3,4,3,2,2,2
"mturk   ",4,2,4,3,4,4,4,4
"mturk   ",6,7,2,5,6,7,4,5
"pi      ",3,5,3,2,3,3,4,2
"mturk   ",4,2,5,5,5,3,4,5
"mturk   ",2,2,2,4,3,2,2,2
"mturk   ",NA,5,3,5,6,6,5,5
"mturk   ",4,5,5,4,4,3,4,2
"mturk   ",3,5,6,6,4,2,6,3
"mturk   ",7,7,7,7,7,7,7,7
"mturk   ",5,5,4,6,6,5,5,5
"mturk   ",5,3,2,4,5,2,4,5
"mturk   ",3,2,2,3,3,2,2,2
"mturk   ",3,2,2,2,4,6,4,3
"mturk   ",4,3,2,4,4,1,4,1
"mturk   ",4,4,4,NA,4,4,4,4
"mturk   ",3,4,3,7,3,3,3,3
"mturk   ",5,3,4,6,5,3,7,5
"mturk   ",4,3,5,5,3,3,2,4
"mturk   ",6,3,4,7,5,6,4,5
"mturk   ",4,2,3,4,3,3,3,4
"mturk   ",2,2,4,7,5,5,5,5
"mturk   ",2,2,3,2,2,2,4,2
"mturk   ",4,3,4,2,3,3,3,3
"mturk   ",3,2,3,2,4,1,2,1
"mturk   ",4,4,5,3,5,4,3,5
"mturk   ",5,3,3,1,7,5,5,6
"mturk   ",2,3,4,4,3,1,4,2
"mturk   ",4,1,4,6,2,4,3,2
"mturk   ",5,3,3,2,4,2,4,3
"mturk   ",6,6,6,7,6,6,7,6
"mturk   ",4,3,4,5,3,3,3,3
"mturk   ",5,7,5,4,4,7,5,5
"mturk   ",5,3,4,3,3,2,4,3
"mturk   ",4,5,6,5,3,7,3,4
"mturk   ",3,4,5,3,4,2,4,3
"mturk   ",3,3,3,2,3,3,3,3
"abington",5,4,3,6,5,5,4,2
"abington",6,5,4,2,5,5,3,2
"abington",3,4,4,6,5,6,4,3
"mturk   ",3,3,3,5,4,4,3,4
"abington",4,5,5,7,7,5,2,5
"abington",4,3,2,4,4,5,4,3
"abington",2,2,4,2,3,1,3,2
"abington",5,4,4,5,4,5,4,5
"ithaca  ",5,3,3,5,3,4,4,5
"pi      ",4,2,4,5,3,1,3,3
"pi      ",2,3,3,7,5,1,7,1
"pi      ",3,4,2,2,2,1,4,1
"pi      ",2,1,2,7,4,2,4,1
"pi      ",3,3,3,6,3,1,3,3
"pi      ",3,3,2,3,3,7,3,1
"pi      ",4,3,4,5,3,1,3,5
"pi      ",4,5,3,6,5,7,3,5
"pi      ",4,2,3,4,4,1,4,2
"pi      ",3,3,3,7,3,3,NA,4
"pi      ",3,5,5,2,4,1,6,2
"pi      ",1,1,1,7,3,1,4,1
"pi      ",2,2,2,6,4,2,4,2
"pi      ",3,1,7,6,4,6,2,5
"pi      ",1,3,6,4,3,2,4,5
"pi      ",4,3,4,3,4,3,5,3
"pi      ",5,5,6,4,5,5,3,2
"pi      ",5,3,3,5,3,3,3,3
"pi      ",1,1,2,2,3,1,5,2
"pi      ",4,2,2,3,3,1,2,1
"pi      ",4,3,5,5,4,5,4,3
"pi      ",2,2,2,4,4,3,3,3
"pi      ",5,3,1,7,5,5,5,4
"pi      ",4,3,4,3,4,3,4,5
"pi      ",4,3,3,5,3,2,3,3
"pi      ",3,4,4,1,5,7,5,3
"pi      ",1,2,3,3,1,1,7,1
"pi      ",3,2,2,3,2,1,4,2
"abington",3,3,3,6,5,6,5,2
"ufl     ",3,2,3,6,2,5,2,3
"abington",3,6,6,7,5,7,1,3
"mturk   ",4,6,7,6,6,7,4,5
"mturk   ",4,3,4,5,4,5,4,4
"mturk   ",3,2,2,3,2,1,2,2
"mturk   ",5,6,6,6,6,5,5,5
"mturk   ",2,1,2,3,2,3,2,3
"mturk   ",3,5,3,3,4,3,6,3
"mturk   ",4,4,3,4,4,3,3,3
"mturk   ",2,1,1,4,1,3,4,2
"mturk   ",5,5,3,7,5,5,4,5
"mturk   ",3,4,5,6,5,3,3,4
"mturk   ",5,2,5,5,6,7,3,3
"mturk   ",3,2,3,7,4,3,3,4
"mturk   ",5,3,5,7,5,6,5,5
"mturk   ",3,4,6,5,4,1,6,1
"mturk   ",5,5,5,6,5,6,5,6
"mturk   ",5,5,5,5,4,3,4,3
"mturk   ",5,5,4,6,6,6,1,4
"mturk   ",3,1,6,2,2,2,3,1
"mturk   ",3,3,2,5,6,3,2,2
"mturk   ",2,1,1,2,2,3,2,2
"mturk   ",5,3,1,5,3,6,1,5
"mturk   ",2,1,2,3,1,1,2,2
"pi      ",1,1,3,4,4,1,4,1
"mturk   ",2,3,3,5,5,5,3,3
"mturk   ",3,4,2,6,4,5,3,4
"mturk   ",4,5,6,7,5,7,5,4
"mturk   ",5,5,4,7,5,7,3,5
"mturk   ",3,3,3,3,5,3,3,3
"mturk   ",3,3,6,4,2,2,3,3
"pi      ",4,3,4,4,6,2,4,2
"mturk   ",4,3,4,6,4,2,5,3
"mturk   ",1,4,4,5,5,1,5,2
"mturk   ",3,3,5,2,3,1,5,3
"mturk   ",2,1,2,4,2,2,2,2
"mturk   ",6,3,6,6,5,5,5,5
"mturk   ",4,3,5,5,5,5,2,5
"mturk   ",3,3,3,5,4,2,6,2
"mturk   ",3,3,2,5,4,3,2,2
"mturk   ",5,5,5,5,6,5,5,5
"mturk   ",5,6,6,5,5,5,6,5
"mturk   ",2,6,6,7,5,1,7,1
"mturk   ",4,5,2,5,5,6,2,5
"mturk   ",5,3,3,5,5,1,2,2
"mturk   ",1,1,1,3,1,1,1,1
"mturk   ",3,4,3,4,5,2,4,3
"pi      ",5,5,2,7,4,5,1,7
"mturk   ",5,2,3,5,5,3,4,3
"pi      ",3,3,3,7,4,1,3,2
"mturk   ",4,4,3,4,4,5,3,3
"mturk   ",5,5,2,6,7,6,3,6
"mturk   ",5,3,3,4,5,3,6,4
"mturk   ",5,5,4,4,5,3,5,5
"mturk   ",5,2,5,3,2,3,5,3
"mturk   ",3,3,3,4,3,3,6,3
"mturk   ",2,2,2,4,5,1,1,1
"mturk   ",5,5,5,6,5,7,4,6
"mturk   ",3,3,4,1,3,5,4,3
"abington",1,1,1,1,1,7,1,1
"mturk   ",4,2,4,5,4,4,3,3
"mturk   ",5,5,6,5,5,4,5,5
"mturk   ",5,5,5,5,5,5,5,4
"mturk   ",4,3,6,7,5,4,6,4
"mturk   ",5,5,3,7,5,7,2,3
"mturk   ",5,4,3,4,4,4,4,2
"mturk   ",3,2,3,7,5,2,2,2
"mturk   ",3,3,3,1,4,2,4,1
"mturk   ",2,1,2,2,1,1,1,1
"mturk   ",5,5,3,3,5,2,3,5
"mturk   ",5,2,3,4,4,2,4,3
"mturk   ",NA,5,6,7,6,6,6,6
"mturk   ",3,3,1,6,5,6,1,4
"mturk   ",4,4,2,7,7,1,3,5
"abington",3,6,3,5,3,6,4,5
"abington",4,4,5,5,2,4,3,2
"abington",4,2,2,4,5,1,2,1
"abington",3,4,7,5,4,1,3,1
"abington",4,4,2,6,5,6,4,2
"mturk   ",4,3,3,5,4,2,3,3
"abington",1,1,1,2,4,2,1,1
"abington",4,5,5,5,4,7,4,4
"abington",3,1,1,6,5,5,1,4
"abington",4,4,5,3,6,6,1,4
"ufl     ",3,3,6,5,4,5,5,3
"mturk   ",5,4,6,4,4,3,7,5
"ufl     ",2,5,6,5,4,5,5,3
"mturk   ",3,2,2,5,3,2,3,4
"mturk   ",4,4,4,7,3,1,2,3
"mturk   ",5,4,5,7,5,7,3,6
"mturk   ",2,1,6,7,5,6,5,4
"mturk   ",4,3,4,7,6,2,4,5
"mturk   ",6,5,5,7,5,6,5,5
"mturk   ",3,4,3,6,4,3,2,2
"mturk   ",6,5,5,6,5,5,1,5
"mcdaniel",3,2,4,6,5,2,3,2
"mturk   ",5,5,5,6,5,6,4,4
"mturk   ",3,1,4,3,1,2,4,3
"mturk   ",2,2,3,4,2,2,2,3
"mturk   ",6,5,6,6,5,6,6,6
"mturk   ",3,1,3,7,7,7,4,6
"mturk   ",4,2,4,3,4,5,2,5
"mturk   ",3,1,1,4,1,4,2,3
"mturk   ",4,6,5,7,6,6,1,5
"mturk   ",3,3,4,1,5,5,5,4
"mturk   ",3,2,3,6,3,2,3,3
"mturk   ",4,4,3,7,5,4,2,2
"mturk   ",4,4,4,7,4,4,4,7
"mturk   ",5,4,4,6,4,3,4,4
"mturk   ",4,4,4,5,4,4,4,4
"mturk   ",6,1,6,7,4,7,3,5
"mturk   ",4,4,5,3,4,3,4,3
"mturk   ",2,2,3,3,3,1,3,2
"abington",1,4,2,3,3,2,2,3
"abington",1,4,1,4,1,3,4,4
"mturk   ",5,6,3,7,5,5,3,6
"mturk   ",5,2,5,6,5,5,3,4
"mturk   ",5,3,7,7,2,7,4,4
"mturk   ",4,2,3,6,5,4,2,3
"wku     ",3,3,3,4,4,5,3,4
"wku     ",5,4,4,5,5,4,5,3
"wku     ",4,3,5,7,6,4,2,4
"wku     ",2,4,4,4,3,2,4,1
"mturk   ",3,2,5,6,5,6,2,4
"abington",3,4,3,3,4,5,3,2
"pi      ",2,3,2,1,3,1,4,2
"abington",2,1,2,6,5,3,2,1
"abington",5,5,5,5,5,3,5,4
"abington",7,1,4,5,4,7,1,1
"mturk   ",2,3,2,2,3,NA,1,2
"abington",4,3,2,2,4,4,4,3
"abington",2,3,2,5,5,2,2,5
"abington",1,1,4,7,3,1,2,7
"mturk   ",3,2,3,7,3,2,2,5
"mturk   ",6,5,6,5,6,6,4,4
"abington",4,5,6,5,4,5,4,3
"abington",1,1,1,1,4,1,4,1
"mturk   ",6,4,1,7,4,7,1,5
"wku     ",1,1,1,5,4,5,1,4
"wku     ",2,3,3,4,3,6,4,3
"wku     ",1,1,1,1,1,1,1,1
"wku     ",1,3,2,3,5,5,1,7
"wku     ",3,4,3,6,5,3,3,4
"pi      ",3,2,5,6,5,1,5,3
"pi      ",3,3,3,5,4,5,2,3
"wku     ",3,3,3,5,3,6,2,3
"wku     ",6,3,3,4,3,6,2,1
"wku     ",5,4,5,4,5,4,3,3
"wku     ",4,3,3,4,3,3,3,5
"wku     ",3,1,4,6,3,6,3,1
"wku     ",4,3,4,5,4,3,4,4
"mturk   ",1,1,1,1,1,1,1,1
"pi      ",5,5,3,6,5,5,3,5
"mturk   ",5,5,6,7,4,5,6,5
"mturk   ",5,3,2,6,3,3,3,4
"mturk   ",4,5,5,5,5,5,5,5
"mturk   ",6,6,6,7,6,6,6,6
"mturk   ",1,1,1,1,1,1,1,1
"mturk   ",5,1,3,5,5,4,5,3
"mturk   ",3,5,5,7,5,2,2,2
"mturk   ",3,2,3,5,3,1,4,3
"mturk   ",5,3,2,4,3,3,2,4
"mturk   ",5,6,6,7,5,5,5,5
"mturk   ",2,5,4,6,6,1,4,5
"mturk   ",3,1,7,7,2,4,2,2
"mturk   ",3,4,4,3,3,2,3,2
"pi      ",3,3,3,5,5,2,5,3
"mturk   ",3,2,3,5,2,2,6,1
"mturk   ",2,1,1,7,1,3,2,2
"mturk   ",5,5,4,5,5,5,5,4
"mturk   ",1,1,1,1,1,1,1,2
"wku     ",5,5,5,7,5,5,6,5
"wku     ",1,1,1,4,6,1,1,1
"pi      ",2,2,3,2,2,6,4,1
"mturk   ",3,2,2,3,3,3,1,3
"mturk   ",3,5,3,2,3,4,3,3
"mturk   ",3,3,3,6,4,1,2,4
"mturk   ",3,3,3,3,5,3,5,3
"mturk   ",3,4,4,5,5,2,5,3
"mturk   ",2,5,2,2,4,2,2,2
"pi      ",3,2,6,1,4,2,4,3
"mturk   ",1,1,1,4,4,4,1,4
"mturk   ",3,3,3,5,3,2,3,3
"mturk   ",5,4,4,4,4,5,6,4
"mturk   ",4,5,5,5,5,3,3,4
"wku     ",2,1,3,4,3,2,5,2
"mturk   ",7,6,3,7,3,5,1,6
"wku     ",4,4,6,2,5,3,5,2
"wku     ",3,2,2,3,5,5,2,4
"wku     ",3,4,2,6,4,5,1,4
"mturk   ",2,3,3,4,4,2,6,2
"mturk   ",2,2,6,7,2,2,1,2
"mturk   ",2,3,1,5,3,2,1,3
"mturk   ",5,5,6,7,5,5,4,4
"mturk   ",4,3,3,3,4,2,2,3
"mturk   ",3,2,2,4,3,2,2,1
"mturk   ",3,1,1,2,2,2,1,3
"mturk   ",5,5,5,7,6,3,5,2
"mturk   ",6,3,3,7,5,3,4,2
"wku     ",5,5,4,7,6,3,4,4
"wku     ",5,3,5,5,4,5,3,5
"wku     ",6,5,3,7,6,7,4,7
"wku     ",4,3,3,7,5,3,1,5
"mturk   ",3,4,3,4,4,3,5,4
"mturk   ",5,3,6,5,4,2,4,2
"mturk   ",2,2,2,2,3,1,4,2
"mturk   ",3,2,1,2,2,2,3,2
"wku     ",4,4,4,6,4,3,5,6
"wku     ",2,1,1,4,2,1,2,1
"wku     ",2,2,2,7,4,4,3,1
"wku     ",4,1,3,7,4,5,1,6
"wku     ",5,4,3,6,5,5,4,5
"mturk   ",4,2,4,6,3,3,2,4
"mturk   ",4,4,4,4,4,4,4,4
"mturk   ",3,6,1,5,5,6,3,5
"mturk   ",6,5,7,7,6,5,7,4
"pi      ",3,3,4,7,4,3,4,3
"mturk   ",4,3,3,7,6,2,6,5
"wku     ",6,5,5,6,6,4,2,6
"wku     ",5,5,3,5,4,5,4,3
"mturk   ",2,2,2,2,2,2,2,2
"wku     ",2,1,6,2,2,2,1,1
"mturk   ",6,6,4,6,5,5,5,4
"wku     ",5,3,4,5,4,5,3,4
"wku     ",3,4,3,4,4,2,3,3
"mturk   ",3,2,2,3,2,4,3,4
"mturk   ",5,4,4,5,5,3,3,4
"mturk   ",2,1,2,2,3,1,2,3
"pi      ",4,4,7,3,3,2,5,2
"mturk   ",4,4,5,5,5,2,4,2
"pi      ",2,4,4,7,5,5,3,2
"mturk   ",3,2,3,5,5,3,4,4
"mturk   ",1,1,2,2,2,2,2,2
"pi      ",1,1,1,4,5,1,1,1
"mturk   ",3,3,3,5,4,3,3,3
"mturk   ",2,1,1,3,5,4,1,2
"mturk   ",6,6,2,7,7,5,2,5
"mturk   ",2,1,5,7,1,6,1,2
"mturk   ",1,1,1,1,1,1,1,1
"mturk   ",3,3,3,2,3,1,5,1
"mturk   ",3,1,2,1,2,2,3,4
"mturk   ",3,3,3,6,5,3,4,3
"mturk   ",5,5,3,7,5,5,2,5
"mturk   ",6,2,4,5,3,6,4,5
"mturk   ",1,1,1,4,2,1,1,1
"mturk   ",3,3,3,7,NA,3,5,3
"mturk   ",5,3,3,5,6,5,1,5
"mturk   ",5,5,7,7,5,6,3,5
"mturk   ",5,6,5,7,5,6,5,5
"mturk   ",2,1,3,7,3,2,4,1
"mturk   ",5,1,1,7,7,1,2,1
"mturk   ",4,3,4,5,5,3,5,4
"mturk   ",2,1,1,5,2,1,1,3
"mturk   ",5,5,5,4,5,3,3,2
"mturk   ",3,3,3,5,4,1,1,2
"mturk   ",3,1,3,2,1,1,4,5
"pi      ",3,1,3,6,2,6,4,3
"mturk   ",5,4,3,2,3,2,5,3
"mturk   ",3,2,3,5,4,3,4,4
"mturk   ",2,2,3,3,2,1,5,2
"mturk   ",7,5,6,6,5,7,7,6
"mturk   ",1,1,1,4,1,1,4,1
"mturk   ",3,2,3,3,4,3,6,3
"mturk   ",4,3,3,3,5,3,4,3
"mturk   ",3,2,7,7,4,4,6,1
"mturk   ",3,3,4,5,3,4,3,2
