"g","and1.4_2","and1.4_3","and1.4_6","and1.4_7","and1.4_10","and1.4_11","and1.4_13","and1.4_15","and1.4_16","and1.4_20"
"hkust",1,1,1,1,1,1,1,1,1,1
"hkust",1,1,1,1,1,1,1,1,1,1
"hkust",2,2,2,4,2,2,2,2,2,3
"hkust",3,1,1,4,4,3,4,1,3,4
"hkust",5,5,1,5,5,3,5,1,5,5
"hkust",3,1,1,3,2,1,3,1,4,3
"hkust",3,1,1,2,2,3,3,2,3,2
"hkust",2,1,1,3,1,1,2,1,2,3
"hkust",2,1,1,2,2,3,1,1,2,1
"hkust",2,2,2,2,2,3,2,2,4,2
"hkust",2,2,4,4,5,1,4,2,2,4
"hkust",2,1,1,2,3,1,1,1,2,1
"hkust",1,1,1,1,1,2,1,1,1,1
"hkust",3,1,2,2,2,1,2,1,1,2
"hkust",3,2,1,4,1,1,1,4,1,1
"hkust",2,2,3,3,3,2,2,3,3,2
"hkust",2,3,1,2,1,1,1,1,1,2
"hkust",1,1,1,1,2,1,1,3,1,1
"hkusttab",3,1,3,3,3,1,2,2,3,3
"hkusttab",1,1,1,1,1,1,2,1,1,1
"hkusttab",2,3,2,2,3,3,2,1,3,2
"hkusttab",3,3,2,3,3,2,3,2,3,3
"hkusttab",1,1,1,1,4,1,1,1,2,1
"hkusttab",2,1,1,2,1,1,1,1,1,1
"hkusttab",2,2,3,1,2,1,1,1,1,1
"hkusttab",2,1,2,2,1,3,1,1,1,1
"hkusttab",1,1,1,1,1,1,1,1,1,1
"hkusttab",1,1,3,1,2,3,1,1,1,1
"hkusttab",1,2,1,2,2,1,1,2,1,1
"castab",1,1,1,1,2,1,1,1,2,1
"castab",1,1,1,2,1,1,1,1,3,1
"castab",3,2,2,3,4,1,4,1,3,3
"cas",1,1,1,1,1,1,1,2,2,1
"castab",1,2,1,2,3,3,1,2,2,1
"cas",3,1,2,2,2,1,1,1,3,1
"cas",1,1,1,1,1,1,1,2,2,1
"castab",2,1,3,2,2,3,1,1,3,1
"castab",4,1,2,2,3,3,3,2,3,3
"cas",1,1,2,2,1,2,1,1,4,1
"cas",1,1,1,1,1,1,1,1,1,1
"castab",1,1,1,1,1,1,1,1,4,1
"cas",5,3,4,3,3,4,3,3,5,3
"castab",2,1,1,3,2,2,1,1,4,1
"cas",1,1,1,1,1,1,1,1,1,1
"cas",4,1,1,1,1,1,1,1,1,1
"castab",1,1,1,3,1,1,1,1,4,1
"castab",1,1,2,1,1,2,1,1,1,1
"cas",1,1,1,1,1,1,1,1,2,1
"castab",3,3,4,3,1,2,1,1,5,1
"castab",1,1,1,1,1,1,1,1,1,1
"cas",1,1,1,2,2,1,1,1,2,1
"castab",3,1,1,1,2,1,1,1,3,1
"cas",2,2,1,4,3,1,4,1,2,4
"cas",2,1,1,2,3,2,1,1,2,1
"cas",1,2,4,1,1,1,1,1,2,1
"cas",1,2,1,2,3,1,2,1,3,2
"cas",3,1,3,1,1,3,1,1,2,1
"cas",2,1,1,1,1,2,1,1,2,1
"cas",1,1,1,1,1,1,1,1,2,1
"cas",4,2,1,4,2,1,5,2,5,1
"castab",2,3,2,3,2,3,2,3,4,3
"cas",1,1,1,1,1,1,1,1,1,1
"castab",1,1,1,2,1,1,1,1,1,1
"cas",2,1,3,1,2,1,1,1,2,1
"castab",1,1,2,2,2,1,1,1,4,1
